symbol,n_matching,title,first_author,year,journal,doi,cited,authors,sentences,searched
PLXNC1,1,Transcriptional repression of Plxnc1 by Lmx1a and Lmx1b directs topographic dopaminergic circuit formation.,Chabrat A,2017,Nature communications,10.1038/s41467-017-01042-0,35,"Chabrat A, Brisson G, Doucet-Beaupré H, Salesse C, Schaan Profes M, Dovonou A, Akitegetse C, Charest J, Lemstra S, Côté D, Pasterkamp RJ, Abrudan MI, Metzakopian E, Ang SL, Lévesque M.","We also found that Sema7a/Plxnc1 interactions are responsible for the segregation of nigrostriatal and mesolimbic dopaminergic pathways. || These findings identify Lmx1a/b, Otx2, and Plxnc1 as determinants of dopaminergic circuit formation and should assist in engineering mesodiencephalic dopamine neurons capable of regenerating appropriate connections for cell therapy.Midbrain dopaminergic neurons (mDAs) in the VTA and SNpc project to different regions and form distinct circuits.",2026-09-21
CALB2,4,Identifying Hub Genes of Alzheimer’s and Parkinson’s Diseases via h-cutoff: A New Methodological Approach,Ye FY.,2026,,10.21203/rs.3.rs-9622183/v1,0,Ye FY.,"The PD-specific layer prioritized PSMB8, GRIA1, RGS8, BAG3, SYN1, CALB2, SNCA and TH, consistent with proteasome/chaperone stress, synaptic signaling, alpha-synuclein biology and dopaminergic vulnerability.",2026-09-21
GPNMB,37,Age-dependent brain pigmentation drives early neuroinflammatory molecular signatures linked to neurodegeneration,Peñuelas N,2026,,10.64898/2026.08.03.742448,0,"Peñuelas N, Xicoy H, Lorente-Picón M, Nicolau-Vera A, Parent A, Gonzalez-Sepulveda M, Laguna A, Vila M.",Functional experiments demonstrated that GPNMB overexpression attenuated NM-linked dopaminergic neurodegeneration and improved motor performance in mice.,2026-09-21
GPNMB,37,Secreted GPNMB enhances uptake of fibrillar alpha-synuclein in a non-cell-autonomous process that can be blocked by anti-GPNMB antibodies,Carceles-Cordon M,2026,,10.64898/2026.01.26.26344888,0,"Carceles-Cordon M, Brody EM, Boucher ML, Gallagher MD, Skrinak RT, Unger TL, Penner CK, Berndt AJ, Das S, Lam K, Jaenisch R, Van Deerlin V, Lee EB, Brunden K, Luk K, Chen-Plotkin AS.","ABSTRACT  Glycoprotein nonmetastatic melanoma B (GPNMB), encoded by the target gene (  GPNMB ) of a Parkinson’s disease (PD) risk locus, acts as a secreted factor mediating inflammatory effects in the context of immunity and cancer. || In a neurodegenerative disease context, GPNMB is critical to cellular uptake of pathological forms of alpha-synuclein (aSyn), the hallmark disease protein that misfolds and accumulates in PD. || One Sentence Summary  The extracellular domain of GPNMB enhances uptake of fibrillar alpha-synuclein in a non-cell-autonomous process that can be blocked by anti-GPNMB antibodies.",2026-09-21
GPNMB,37,Secreted GPNMB enhances uptake of fibrillar alpha-synuclein in a non-cell-autonomous process that can be blocked by anti-GPNMB antibodies.,Carceles-Cordon M,2026,Neuron,10.1016/j.neuron.2026.04.033,1,"Carceles-Cordon M, Brody EM, Boucher ML, Gallagher MD, Skrinak RT, Unger TL, Penner CK, Berndt AJ, Das S, Lam K, Jaenisch R, Van Deerlin V, Lee EB, Brunden K, Luk KC, Chen-Plotkin AS.","Glycoprotein nonmetastatic melanoma B (GPNMB) is critical to cellular uptake of pathological forms of alpha-synuclein (aSyn), the hallmark disease protein in Parkinson's disease (PD).",2026-09-21
GPNMB,37,GPNMB and glycosphingolipid measurements in cerebrospinal fluid and plasma from Parkinson’s disease patients,Fernandez-Suarez ME,2026,,10.64898/2026.04.09.712000,0,"Fernandez-Suarez ME, Bush R, Di Biase E, te Vruchte D, Priestman DA, Cortina-Borja M, Cooper O, Hardy J, Hallett PJ, Isacson O, Platt FM.","We also investigated potential sex differences and associations with PD-related biomarkers such as α-synuclein Methods  GSL species and GPNMB protein levels were quantified using high-performance liquid chromatography (HPLC) and ELISA assays, respectively, in matched CSF and plasma samples from PD patients and controls Results  Levels of the paraglobosides GSL species, alpha-2,3SpG and pGb were significantly elevated in the plasma of PD patients compared to healthy controls, while levels of the ganglioside GD1a and the lacto-series GSL, Le  b combined (GD1a + Le  b ), were significantly reduced in PD. || CSF GPNMB correlated positively with age and α-synuclein concentrations  Interpretation  Our findings confirm that GSL metabolism is altered in PD.",2026-09-21
GPNMB,37,Rapid Hematological Profiling of the GPNMB/GRN Ratio via Bioelectronic Platform for Early Diagnosis of Parkinson's Disease.,Jiang X,2026,"Advanced materials (Deerfield Beach, Fla.)",10.1002/adma.74326,0,"Jiang X, Zheng J, Yu J, Chen R, Lai M, Liang Z, Zhou R, Fu W, Yan H, Du H, Segal E, Jiang C, Inal S, Su J, Guo K.","We identify the glycoprotein non-metastatic melanoma protein B (GPNMB)/granulin (GRN) ratio as a sensitive composite biomarker of neuroinflammatory dysregulation, showing pronounced alterations at early disease stages and complementing α-synuclein for PD assessment.",2026-09-21
GPNMB,37,"GPNMB, LRRK2, and lysosome exocytosis in Parkinson's.",Pfeffer SR.,2025,Science advances,10.1126/sciadv.aed8002,2,Pfeffer SR.,"When two genes linked to increased Parkinson's risk converge on a lysosome, LRRK2 mutation enhances lysosomal release of soluble GPNMB potentially contributing to synuclein pathology.",2026-09-21
FUS,153,Intraarterial microbubble delivery enhances focused ultrasound induced blood brain barrier opening in the murine substantia nigra.,Li H,2025,Scientific reports,10.1038/s41598-025-30757-0,1,"Li H, Lee YH, Zen X, Huang MW, Liu CW, Ho EP, Ou-Yang CH, Lin HI, Chen CA, Chang YY, Liu HL, Lin CH.",Focused ultrasound (FUS) combined with microbubbles facilitates blood-brain barrier (BBB) opening to enhance therapeutic delivery to the substantia nigra for Parkinson's disease treatment. || This study compared IA versus IV administration of low (2.80 × 10⁸/kg) and high (1.12 × 10⁹/kg) microbubble doses for FUS-induced BBB opening in the murine substantia nigra.,2026-09-21
FUS,153,Focused ultrasound enhances targeted curcumin delivery and alleviates behavioral and neuropathological deficits in a Parkinson's disease mouse model.,Yang SM,2026,Frontiers in aging neuroscience,10.3389/fnagi.2026.1740256,1,"Yang SM, Yeoh SH, Lin MT, Hsiao MY, Wu CH, Lin SJ, Chen WS.",This study aimed to evaluate whether focused ultrasound (FUS)-mediated BBB opening enhances curcumin delivery and therapeutic efficacy in a 6-hydroxydopamine (6-OHDA) mouse model of Parkinson's disease (PD).MethodsMale C57BL/6 mice with unilateral 6-OHDA lesions received intravenous curcumin with or without FUS targeted to the lesioned striatum for 4 weeks. || No tissue damage or adverse effects were observed after repeated sonications.DiscussionThis is the first study to demonstrate the efficacy of unmodified curcumin combined with FUS in a 6-OHDA PD model.,2026-09-21
