gene,symbol,ot_release,ot_pd_overall,ot_pd_genetic,ot_pd_literature,ot_pd_animal,ot_pd_pathway,ot_pd_rna,ot_pd_drug,tractable,n_drug_candidates,hpa_sn_brain_specificity,hpa_sn_brain_distribution,hpa_sn_brain_top,hpa_brain_cluster,accessed
ENSG00000136040,PLXNC1,26.06,0.0014783194187388072,0.0,0.012158615952232422,0.0,0.0,0.0,0.0,SM: High-Quality Pocket | AB: GO CC high conf | AB: UniProt SigP or TMHMM | PR: Database Ubiquitination | PR: Half-life Data,0,Cell type enhanced,Detected in all,fibroblast (347),Cluster 56: Hypothalamus - Neuropeptide signaling,2026-09-21
ENSG00000172137,CALB2,26.06,0.03835448480490162,0.0,0.31545107564532804,0.0,0.0,0.0,0.0,PR: Half-life Data,0,Cell type enhanced,Detected in all,thalamic excitatory (241) | lower rhombic lip (197),Cluster 49: Hindbrain - Mixed function,2026-09-21
ENSG00000173914,RBM4B,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 10: Cerebellum - Nucleic acid binding,2026-09-21
ENSG00000136235,GPNMB,26.06,0.5033813458053994,0.7819308449600633,0.9218649116572969,0.0,0.0,0.0,0.0,AB: Advanced Clinical | AB: GO CC high conf | AB: UniProt loc med conf | AB: UniProt SigP or TMHMM | PR: Database Ubiquitination | PR: Half-life Data | OC: Advanced Clinical,1,Group enriched,Detected in many,fibroblast (77) | central nervous system macrophage (44),Cluster 20: Macrophages & Microglia - Immune response,2026-09-21
ENSG00000089280,FUS,26.06,0.03059264842743107,0.0,0.25161291834219013,0.0,0.0,0.0,0.0,SM: Structure with Ligand | PR: UniProt Ubiquitination | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 34: Non-specific - Mixed function,2026-09-21
ENSG00000101040,ZMYND8,26.06,0.004337170741338559,0.0,0.030396539880581056,0.0,0.0,0.021100171171169496,0.0,PR: UniProt Ubiquitination | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 52: Neurons & Synapses - Synaptic function,2026-09-21
ENSG00000196367,TRRAP,26.06,0.3325209330629493,0.0,0.0,0.0,0.5469716855427047,0.0,0.0,SM: Structure with Ligand | PR: UniProt Ubiquitination | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 15: Non-specific - Transcription,2026-09-21
ENSG00000143847,PPFIA4,26.06,0.0073915970936940375,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,AB: UniProt loc med conf | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 37: Neurons - Mixed function,2026-09-21
ENSG00000164151,ICE1,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR: Database Ubiquitination,0,Low cell type specificity,Detected in all,,Cluster 31: Non-specific - Transcription,2026-09-21
ENSG00000119866,BCL11A,26.06,0.00819235344551089,0.0,0.06737899673528801,0.0,0.0,0.0,0.0,PR: UniProt Ubiquitination | PR: Database Ubiquitination | PR: Half-life Data,1,Low cell type specificity,Detected in many,,Cluster 51: Neurons - Mixed function,2026-09-21
ENSG00000114302,PRKAR2A,26.06,0.01979006469798571,0.0,0.16276576853594993,0.0,0.0,0.0,0.0,SM: Structure with Ligand | AB: UniProt loc high conf | AB: GO CC high conf | PR: Database Ubiquitination | PR: Half-life Data | PR: Small Molecule Binder,0,Low cell type specificity,Detected in all,,Cluster 56: Hypothalamus - Neuropeptide signaling,2026-09-21
