symbol,uniprot,protein,function,location
PLXNC1,O60486,Plexin-C1,"Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein. Binding of semaphorins triggers cellular responses leading to the rearrangement of the cytoskeleton and to secretion of IL6 and IL8 (By similarity)",Membrane
CALB2,P22676,Calretinin,"Calcium-binding protein involved in calcium homeostasis and signal transduction. It plays a critical role in buffering intracellular calcium levels and modulating calcium-dependent signaling pathways (PubMed:2001709). Predominantly expressed in specific neuronal populations, influences synaptic plasticity and neuronal excitability, contributing to learning and memory (By similarity). During embryonic development, it facilitates neuronal differentiation and maturation (By similarity)","Synapse; Cell projection, dendrite"
RBM4B,Q9BQ04,RNA-binding protein 4B,Required for the translational activation of PER1 mRNA in response to circadian clock. Binds directly to the 3'-UTR of the PER1 mRNA (By similarity),"Nucleus; Nucleus, nucleolus"
GPNMB,Q14956,Transmembrane glycoprotein NMB,Could be a melanogenic enzyme,Cell membrane; Melanosome membrane; Early endosome membrane
FUS,P35637,RNA-binding protein FUS,"DNA/RNA-binding protein that plays a role in various cellular processes such as transcription regulation, RNA splicing, RNA transport, DNA repair and damage response (PubMed:27731383). Binds to ssRNA containing the consensus sequence 5'-AGGUAA-3' (PubMed:21256132). Binds to nascent pre-mRNAs and acts as a molecular mediator between RNA polymerase II and U1 small nuclear ribonucleoprotein thereby coupling transcription and splicing (PubMed:26124092). Also binds its own pre-mRNA and autoregulates its expression; this autoregulation mechanism is mediated by non-sense-mediated decay (PubMed:24204307). Plays a role in DNA repair mechanisms by promoting D-loop formation and homologous recombination during DNA double-strand break repair (PubMed:10567410). In neuronal cells, plays crucial roles in dendritic spine formation and stability, RNA transport, mRNA stability and synaptic homeostasis (By similarity)",Nucleus
ZMYND8,Q9ULU4,MYND-type zinc finger-containing chromatin reader ZMYND8,"Chromatin reader that recognizes dual histone modifications such as histone H3.1 dimethylated at 'Lys-36' and histone H4 acetylated at 'Lys-16' (H3.1K36me2-H4K16ac) and histone H3 methylated at 'Lys-4' and histone H4 acetylated at 'Lys-14' (H3K4me1-H3K14ac) (PubMed:26655721, PubMed:27477906, PubMed:31965980, PubMed:36064715). May act as a transcriptional corepressor for KDM5D by recognizing the dual histone signature H3K4me1-H3K14ac (PubMed:27477906). May also act as a transcriptional corepressor for KDM5C and EZH2 (PubMed:33323928). Recognizes acetylated histone H4 and recruits the NuRD chromatin remodeling complex to damaged chromatin for transcriptional repression and double-strand break repair by homologous recombination (PubMed:25593309, PubMed:27732854, PubMed:30134174). Also activates transcription elongation by RNA polymerase II through recruiting the P-TEFb complex to target promoters (PubMed:26655721, PubMed:30134174). Localizes to H3.1K36me2-H4K16ac marks at all-trans-retinoic acid (ATRA)-responsive genes and positively regulates their expression (PubMed:26655721). Promotes neuronal differentiation by associating with regulatory regions within the MAPT gene, to enhance transcription of a protein-coding MAPT isoform and suppress the non-coding MAPT213 isoform (PubMed:30134174, PubMed:35916866, PubMed:36064715). Suppresses breast cancer, and prostate cancer cell invasion and metastasis (PubMed:27477906, PubMed:31965980, PubMed:33323928)",Nucleus; Chromosome; Cytoplasm
TRRAP,Q9Y4A5,Transformation/transcription domain-associated protein,"Adapter protein, which is found in various multiprotein chromatin complexes with histone acetyltransferase activity (HAT), which gives a specific tag for epigenetic transcription activation. Component of the NuA4 histone acetyltransferase complex which is responsible for acetylation of nucleosomal histones H4 and H2A. Plays a central role in MYC transcription activation, and also participates in cell transformation by MYC. Required for p53/TP53-, E2F1- and E2F4-mediated transcription activation. Also involved in transcription activation mediated by the adenovirus E1A, a viral oncoprotein that deregulates transcription of key genes. Probably acts by linking transcription factors such as E1A, MYC or E2F1 to HAT complexes such as STAGA thereby allowing transcription activation. Probably not required in the steps following histone acetylation in processes of transcription activation. May be required for the mitotic checkpoint and normal cell cycle progression. Component of a SWR1-like complex that specifically mediates the removal of histone H2A.Z/H2AZ1 from the nucleosome. May play a role in the formation and maintenance of the auditory system (By similarity)",Nucleus
PPFIA4,O75335,Liprin-alpha-4,"May regulate the disassembly of focal adhesions. May localize receptor-like tyrosine phosphatases type 2A at specific sites on the plasma membrane, possibly regulating their interaction with the extracellular environment and their association with substrates (By similarity)",Cytoplasm; Cell surface
ICE1,Q9Y2F5,Little elongation complex subunit 1,"Component of the little elongation complex (LEC), a complex required to regulate small nuclear RNA (snRNA) gene transcription by RNA polymerase II and III (PubMed:22195968, PubMed:23932780). Specifically acts as a scaffold protein that promotes the LEC complex formation and recruitment and RNA polymerase II occupancy at snRNA genes in subnuclear bodies (PubMed:23932780)","Nucleus; Nucleus, Cajal body"
BCL11A,Q9H165,BCL11 transcription factor A,"Transcription factor (PubMed:16704730, PubMed:29606353). Associated with the BAF SWI/SNF chromatin remodeling complex (PubMed:23644491, PubMed:39607926). Binds to the 5'-TGACCA-3' sequence motif in regulatory regions of target genes, including a distal promoter of the HBG1 hemoglobin subunit gamma-1 gene (PubMed:29606353, PubMed:39423807). Involved in regulation of the developmental switch from gamma- to beta-globin, probably via direct repression of HBG1; hence indirectly repressing fetal hemoglobin (HbF) level (PubMed:26375765, PubMed:29606353, PubMed:39423807, PubMed:39607926). Involved in brain development (PubMed:27453576). May play a role in hematopoiesis (By similarity). Essential factor in lymphopoiesis required for B-cell formation in fetal liver (By similarity). May function as a modulator of the transcriptional repression activity of NR2F2 (By similarity)",Cytoplasm; Nucleus; Chromosome; Nucleus matrix; Cytoplasm; Nucleus; Cytoplasm; Nucleus
PRKAR2A,P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,"Regulatory subunit of the cAMP-dependent protein kinases involved in cAMP signaling in cells. Type II regulatory chains mediate membrane association by binding to anchoring proteins, including the MAP2 kinase",Cytoplasm; Cell membrane
DNAJB1,P25685,DnaJ homolog subfamily B member 1,Interacts with HSP70 and can stimulate its ATPase activity. Acts also with TTC1 as a chaperone adapter that regulates HSP70-dependent folding process by interacting with the HSP70 amino terminal region (PubMed:14503850). Stimulates the association between HSC70 and HIP. Negatively regulates heat shock-induced HSF1 transcriptional activity during the attenuation and recovery phase period of the heat shock response (PubMed:9499401). Stimulates ATP hydrolysis and the folding of unfolded proteins mediated by HSPA1A/B (in vitro) (PubMed:24318877),"Cytoplasm; Nucleus; Nucleus, nucleolus"
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,"Glutathione S-transferase that catalyzes the conjugation of glutathione to exogenous and endogenous compounds (PubMed:14709161, PubMed:14742434). Significant glutathione conjugating activity is found only with the model substrate, 1-chloro-2,4-dinitrobenzene (CDNB) (PubMed:14709161)",Peroxisome
CALB1,P05937,Calbindin,"Buffers cytosolic calcium. May stimulate a membrane Ca(2+)-ATPase and a 3',5'-cyclic nucleotide phosphodiesterase",
