symbol,search_pass,where,title,year,doi,sentences,decision,reason,searched
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Does the calcium binding protein calretinin protect dopaminergic neurons against degeneration in Parkinson's disease?,1994,10.1016/0006-8993(94)90511-8,,kept,cited in Table 3 (mouattprigent1994),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Calretinin-Immunoreactive Dopaminergic Neurons from Embryonic Rat Mesencephalon Are Resistant to Levodopa-Induced Neurotoxicity,1997,10.1006/exnr.1997.6530,,kept,cited in Table 3 (isaacs1997),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,The substantia nigra of the human brain,1999,10.1093/brain/122.8.1437,,kept,cited in Table 3 (damier1999),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Mesencephalic Astrocyte-Derived Neurotrophic Factor Is Neurorestorative in Rat Model of Parkinson's Disease,2009,10.1523/jneurosci.0833-09.2009,,kept,cited in Table 3 (voutilainen2009),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,$\alpha$-Synuclein Sequesters Dnmt1 from the Nucleus,2011,10.1074/jbc.c110.212589,,kept,cited in Table 3 (desplats2011),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,LRRK2 Regulates Voltage-Gated Calcium Channel Function,2016,10.3389/fnmol.2016.00035,,kept,cited in Table 3 (bedford2016),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Asparagine endopeptidase cleaves $\alpha$-synuclein and mediates pathologic activities in Parkinson's disease,2017,10.1038/nsmb.3433,,kept,cited in Table 3 (zhang2017),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,"Association of GALC, ZNF184, IL1R2 and ELOVL7 With Parkinson's Disease in Southern Chinese",2018,10.3389/fnagi.2018.00402,,kept,cited in Table 3 (li2018),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,Initiation of Parkinson's disease from gut to brain by $\delta$-secretase,2019,10.1038/s41422-019-0241-9,,kept,cited in Table 3 (ahn2020),
,"pass 3: targeted search by protein name (legumain, calretinin, calbindin, endophilin, and others)",title/abstract,GPNMB confers risk for Parkinson's disease through interaction with {$\alpha$}-synuclein,2022,10.1126/science.abk0637,,kept,cited in Table 3 (diazortiz2022),
