component,mean_abs_shap,variance_explained
PC7,0.12429401607949649,0.028460889525670868
PC8,0.04613850644749848,0.026690246051496454
PC26,0.03830100302647057,0.012006346215069182
PC27,0.03397264294805677,0.011910116059848064
PC10,0.020257921265010276,0.020355795250846527
PC15,0.017404243395226004,0.016474847189403837
PC30,0.016693796976994968,0.010273238556371633
PC18,0.015047403647895847,0.015142286001996005
PC29,0.014536126409476914,0.011186176110210964
PC22,0.014349104454146291,0.013320229081431437
PC3,0.013961770230462536,0.04619651959427151
PC4,0.013438623035502237,0.04005528608322899
PC20,0.012723390956955669,0.013876912787409797
PC11,0.012563474319952158,0.019788919161762293
PC17,0.009043944563791862,0.01546826794914109
PC24,0.00878554726699868,0.012678885259090451
PC2,0.00832451337469459,0.1102820505347886
PC9,0.0076179822698373345,0.023189421400116542
PC6,0.007563587008559924,0.030237059083333327
PC25,0.007362214111851715,0.012244124050702814
PC23,0.006922030123937653,0.0132161662335897
PC19,0.006623556144460505,0.014420208164588562
PC12,0.006449846053302228,0.01854563468060778
PC14,0.005593936827856664,0.016741633484502322
PC16,0.005423280547805579,0.016060957348508643
PC1,0.004735277553739422,0.13096112459236547
PC21,0.004486176725299641,0.0135828253355316
PC5,0.003065025721139359,0.03750796600846757
PC13,0.0026461856695851483,0.01738540220160776
PC28,0.0025580785992032574,0.01129402338608156
