gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000132002,DNAJB1,0.00046482738894641047,1,0.6180783910764029,higher rank -> more PD-like,0.56
ENSG00000164434,FABP7,0.00033662600263617337,2,-0.4826228878647968,higher rank -> less PD-like,0.52
ENSG00000151929,BAG3,0.0003272822407424049,3,0.5345926290782741,higher rank -> more PD-like,0.2
ENSG00000175265,GOLGA8A,0.00030160787242090284,4,-0.32685291858677173,higher rank -> less PD-like,0.2
ENSG00000149743,TRPT1,0.00030159746620100246,5,-0.5020161290322306,higher rank -> less PD-like,0.28
ENSG00000148219,ASTN2,0.0002991663458993247,6,-0.4037538402457535,higher rank -> less PD-like,0.6
ENSG00000145934,TENM2,0.000295541617241844,7,0.31435189076631603,higher rank -> more PD-like,0.48
ENSG00000118946,PCDH17,0.00029225528976387766,8,-0.23219086021504107,higher rank -> less PD-like,0.48
ENSG00000182747,SLC35D3,0.0002835267982153638,9,-0.44138824884790206,higher rank -> less PD-like,0.48
ENSG00000171617,ENC1,0.00028241858349986604,10,0.420170890936997,higher rank -> more PD-like,0.6
ENSG00000127922,SEM1,0.00027753374750764996,11,-0.38560867895543194,higher rank -> less PD-like,0.36
ENSG00000188848,BEND4,0.0002757564671369215,12,0.24659178187402653,higher rank -> more PD-like,0.08
ENSG00000116741,RGS2,0.0002756691885571133,13,0.3950460235262118,higher rank -> more PD-like,0.36
ENSG00000170017,ALCAM,0.0002735436331200815,14,-0.3234927035330084,higher rank -> less PD-like,0.36
ENSG00000183166,CALN1,0.0002709981553915008,15,-0.5782279453654515,higher rank -> less PD-like,0.4
ENSG00000162413,KLHL21,0.00027040526315396686,16,0.40072964669736666,higher rank -> more PD-like,0.12
ENSG00000130766,SESN2,0.0002702558627395302,17,0.3675595238095036,higher rank -> more PD-like,0.28
ENSG00000111879,FAM184A,0.00026697784472078903,18,-0.2786098310291706,higher rank -> less PD-like,0.32
ENSG00000003402,CFLAR,0.000261426478743825,19,0.39549731182793535,higher rank -> more PD-like,0.24
ENSG00000101333,PLCB4,0.0002602988398572759,20,0.3832565284177977,higher rank -> more PD-like,0.4
ENSG00000103429,BFAR,0.0002592378243062165,21,0.34311019379585955,higher rank -> more PD-like,0.12
ENSG00000162374,ELAVL4,0.0002580919258634459,22,0.3750960061443726,higher rank -> more PD-like,0.16
ENSG00000145882,PCYOX1L,0.00025146271125578445,23,-0.4152745775729419,higher rank -> less PD-like,0.04
ENSG00000107651,SEC23IP,0.00025142556574599866,24,-0.33292930265095594,higher rank -> less PD-like,0.08
ENSG00000017427,IGF1,0.0002502256496386488,25,0.4029377880184112,higher rank -> more PD-like,0.4
ENSG00000105993,DNAJB6,0.00024926963479792233,26,0.28151739534230136,higher rank -> more PD-like,0.0
ENSG00000099622,CIRBP,0.0002485814933861229,27,-0.3211885560675708,higher rank -> less PD-like,0.08
ENSG00000048540,LMO3,0.0002483903362085417,28,-0.38388056835635387,higher rank -> less PD-like,0.2
ENSG00000132640,BTBD3,0.0002480369833370122,29,-0.4628936251919869,higher rank -> less PD-like,0.16
ENSG00000066933,MYO9A,0.0002474937538764791,30,0.3967501530401774,higher rank -> more PD-like,0.12
ENSG00000177311,ZBTB38,0.00024568642772109965,31,0.22959869431642374,higher rank -> more PD-like,0.12
ENSG00000100227,POLDIP3,0.00024525896661086876,32,0.1729832225734005,higher rank -> more PD-like,0.24
ENSG00000118507,AKAP7,0.00024416600935455867,33,-0.1838517665130468,higher rank -> less PD-like,0.08
ENSG00000136816,TOR1B,0.0002436008087077813,34,-0.3718317972350026,higher rank -> less PD-like,0.24
ENSG00000187398,LUZP2,0.00024260354662869737,35,-0.23051075268815938,higher rank -> less PD-like,0.32
ENSG00000196428,TSC22D2,0.00024238573829425523,36,0.30433947772655784,higher rank -> more PD-like,0.08
ENSG00000188811,NHLRC3,0.00024232969721475116,37,-0.33552149965811495,higher rank -> less PD-like,0.28
ENSG00000135541,AHI1,0.00024176548207335946,38,-0.21826996927802186,higher rank -> less PD-like,0.04
ENSG00000077782,FGFR1,0.00024097321498212405,39,0.3576228878648038,higher rank -> more PD-like,0.24
ENSG00000111912,NCOA7,0.00023945796132276263,40,0.3152399582595094,higher rank -> more PD-like,0.24
ENSG00000187094,CCK,0.00023825913694841913,41,-0.3066233033931196,higher rank -> less PD-like,0.4
ENSG00000147274,RBMX,0.00023747708917441695,42,-0.14823348694315622,higher rank -> less PD-like,0.0
ENSG00000115652,UXS1,0.0002368991844937923,43,0.4252592165898385,higher rank -> more PD-like,0.16
ENSG00000145990,GFOD1,0.0002359734461247131,44,0.36933563748077847,higher rank -> more PD-like,0.08
ENSG00000155849,ELMO1,0.0002356986671762382,45,-0.286098310291843,higher rank -> less PD-like,0.16
ENSG00000152137,HSPB8,0.00023500644966851638,46,0.3693836405529751,higher rank -> more PD-like,0.12
ENSG00000181192,DHTKD1,0.00023422843971844425,47,-0.2525441628264071,higher rank -> less PD-like,0.08
ENSG00000069248,NUP133,0.00023373218353696355,48,-0.10224654377879623,higher rank -> less PD-like,0.0
ENSG00000110172,CHORDC1,0.00023290448957638443,49,0.41743471582178965,higher rank -> more PD-like,0.12
ENSG00000043143,JADE2,0.00023262855161985068,50,0.28014592933946236,higher rank -> more PD-like,0.32
ENSG00000197448,GSTK1,0.00023095612201139298,51,0.4920853985256938,higher rank -> more PD-like,0.36
ENSG00000168002,POLR2G,0.00023079541173792658,52,-0.18620615168092536,higher rank -> less PD-like,0.0
ENSG00000113361,CDH6,0.00022885226162161823,53,0.3309131494231655,higher rank -> more PD-like,0.2
ENSG00000245532,NEAT1,0.00022875407406143397,54,0.38052035330259054,higher rank -> more PD-like,0.12
ENSG00000086589,RBM22,0.0002285692505949456,55,-0.328821044546833,higher rank -> less PD-like,0.08
ENSG00000175497,DPP10,0.00022851550644099246,56,-0.5313940092165608,higher rank -> less PD-like,0.28
ENSG00000089169,RPH3A,0.00022685565458677206,57,0.3822004608294721,higher rank -> more PD-like,0.2
ENSG00000108599,AKAP10,0.0002263523549914949,58,0.24102342549921874,higher rank -> more PD-like,0.16
ENSG00000077684,JADE1,0.00022249442711105418,59,0.383981182597505,higher rank -> more PD-like,0.16
ENSG00000172403,SYNPO2,0.00022223785412509397,60,0.3710157450076602,higher rank -> more PD-like,0.16
ENSG00000115271,GCA,0.0002218523122779665,61,-0.4478206605222489,higher rank -> less PD-like,0.12
ENSG00000113758,DBN1,0.000219478361047548,62,-0.208573348694305,higher rank -> less PD-like,0.16
ENSG00000171723,GPHN,0.00021885643082669804,63,-0.2753936251919972,higher rank -> less PD-like,0.08
ENSG00000156050,FAM161B,0.0002186604663378828,64,0.14895353302610553,higher rank -> more PD-like,0.28
ENSG00000047188,YTHDC2,0.00021784083334109824,65,-0.29349078341012214,higher rank -> less PD-like,0.12
