cohort,model,n,auc,auc_marker_removed,auc_DaN_removed,auc_all_neurons_removed
GSE7621,frozen,25,0.9375,0.7916666666666667,0.7777777777777778,0.9166666666666666
GSE7621,panel,25,0.9444444444444444,0.7430555555555556,0.7222222222222222,0.9166666666666666
GSE20292,frozen,29,0.5505050505050505,0.6212121212121212,0.5555555555555556,0.5454545454545454
GSE20292,panel,29,0.5303030303030303,0.6919191919191919,0.3838383838383838,0.6060606060606061
GSE20163,frozen,17,0.5972222222222223,0.5833333333333334,0.5555555555555556,0.6805555555555556
GSE20163,panel,17,0.4166666666666667,0.5694444444444444,0.5138888888888888,0.5138888888888888
GSE20164,frozen,11,0.7,0.4666666666666666,0.7,0.5333333333333333
GSE20164,panel,11,0.7999999999999999,0.5666666666666667,0.7333333333333333,0.7666666666666666
GSE8397,frozen,23,0.6958333333333333,0.625,0.6583333333333334,0.6666666666666667
GSE8397,panel,23,0.775,0.7083333333333334,0.7083333333333333,0.8
GSE49036,frozen,23,0.5166666666666666,0.44166666666666665,0.48333333333333334,0.48333333333333334
GSE49036,panel,23,0.8250000000000001,0.7333333333333333,0.6666666666666667,0.6666666666666667
GSE114517,frozen,29,0.6862745098039216,0.6715686274509803,0.6519607843137255,0.7058823529411765
GSE114517,panel,29,0.9019607843137255,0.803921568627451,0.7941176470588236,0.8333333333333334
GSE168496,frozen,16,0.703125,0.625,0.71875,0.703125
GSE168496,panel,16,0.984375,0.921875,0.984375,1.0
