cohort,method,n,signature_genes,da_fraction_median,rho_marker_vs_DaN,p_DaN,rho_marker_vs_all_neurons,p_all_neurons,oligodendrocyte,astrocyte,microglia
GSE7621,nnls,25,1319,0.0,0.47067872433164176,0.01756721845120294,0.18914289911194193,0.3651956719938775,0.5311814725232231,0.2910286650187626,0.09877868496993016
GSE7621,nusvr,25,1319,0.008159609974228712,0.8916212936822727,2.2245723777677602e-09,0.6461538461538462,0.00048427253959588013,0.4911570962940895,0.2722592612541273,0.036040013175064826
GSE7621,music,25,1319,0.0,0.8998261541898138,9.377430561073698e-10,0.38384615384615384,0.05818916037068153,0.32456914999902803,0.18910962737160636,0.0901873992241456
GSE20292,nnls,29,799,0.0,0.31622776601683794,0.09467610100466274,0.33300492610837434,0.07753371089749289,0.04844422044626895,0.1371049535325031,0.27007820854024506
GSE20292,nusvr,29,799,0.0634431391890941,0.3277476987510227,0.0826264366208042,0.4576354679802954,0.012553701393012238,0.20802952506514294,0.3173509051554275,0.05200123378900538
GSE20292,music,29,799,0.05965887119779003,0.5655172413793101,0.0013887835275428737,0.6945812807881772,2.911215055201498e-05,0.062400945248040345,0.138374917453277,0.13120858325822
GSE20163,nnls,17,799,0.0,0.9102787752807471,3.9561855880788356e-07,0.2573529411764706,0.3186676476453986,0.14818150761929583,0.3345979985263744,0.13424615939724385
GSE20163,nusvr,17,799,0.03192251807019134,0.6597180884386604,0.003958513748128396,0.5416666666666667,0.02471480173457982,0.19887297254483183,0.3972328042571571,0.012037955241395629
GSE20163,music,17,799,0.040291759746278515,0.9582765018684799,1.4616168760815699e-09,0.3823529411764707,0.1298634258225738,0.16788114944600327,0.1569969896179778,0.09014759329817161
GSE20164,nnls,11,799,0.0,,,,,0.5114656326427653,0.15495994628540116,0.1731191491950214
GSE20164,nusvr,11,799,0.0,0.3264062192355625,0.3272534865108588,0.4727272727272727,0.14199852020631992,0.44639764128358694,0.28526979569232563,0.015507207334220195
GSE20164,music,11,799,0.0027214871765665304,0.8104432008587534,0.0024831964701772986,0.7454545454545456,0.00845472888506156,0.2122591266687276,0.16859741141310344,0.12183965553629081
GSE8397,nnls,23,799,0.0,,,0.5484390467716802,0.006734887800272452,0.4630097995238946,0.2610151579629623,0.16800670060406558
GSE8397,nusvr,23,799,0.009929333504538325,0.6838037304346474,0.0003212577081150997,0.10375494071146245,0.6375569641629661,0.2490257577521938,0.4567152659261383,0.015257667502543003
GSE8397,music,23,799,0.0,0.8714745923112578,6.193258332843769e-08,0.6709486166007905,0.00045770645385702417,0.17363901220505848,0.2078951192601333,0.11719779388654528
GSE49036,nnls,23,1321,0.015608865655717076,0.9637899779858979,1.5683580425188805e-13,0.9546207287238758,1.6112796512595693e-12,0.31811276203825456,0.4219667227363212,0.13899255792733
GSE49036,nusvr,23,1321,0.13036067071021099,0.8505065740248701,2.7485343809437676e-07,0.9120553359683794,1.3862822602287868e-09,0.2425314988358976,0.41948445335423634,0.060245595829145106
GSE49036,music,23,1321,0.20690697862062984,0.987892296034698,1.7610099016220157e-18,0.9851778656126482,1.4555716366082698e-17,0.13313328802730487,0.24731735031210292,0.09611667621976641
GSE114517,nnls,29,1567,0.0,0.6569089227101647,0.00010847019472785432,0.6569089227101647,0.00010847019472785432,0.46818303196963146,0.3371835611921099,0.08008212806643752
GSE114517,nusvr,29,1567,0.0,0.8485480835297868,6.0790200786389946e-09,0.6330049261083742,0.00022849919120706606,0.4528662621541673,0.3178691243695612,0.03534366741618314
GSE114517,music,29,1567,0.0,0.9125599476129405,5.418879803119856e-12,0.5565449064037635,0.00171618585818038,0.3973079588279092,0.2463251261958816,0.08810455869249657
GSE168496,nnls,16,1225,0.0,,,,,0.8336590587401835,0.0,0.14696311411331903
GSE168496,nusvr,16,1225,0.0,0.45506589338277315,0.07653886503801713,0.5794117647058823,0.018662529417711946,0.5895832961208635,0.2105865510469482,0.020693322472659703
GSE168496,music,16,1225,0.0,0.7573271034331901,0.0006800097408832922,0.5427752228766006,0.02981833712424456,0.4938065837073379,0.1313936484798488,0.06471649134892124
