cohort,method,cell_type,n,median_control,median_PD,auc,p
GSE7621,nnls,Oligodendrocytes,25,0.5311443645313726,0.5317537599193787,0.5,1.0
GSE7621,nnls,Astrocytes,25,0.2911269675121595,0.25292528830752636,0.4097222222222222,0.47914825725759425
GSE7621,nnls,Microglia,25,0.09848951987796017,0.12049648162548678,0.6527777777777778,0.22352896258794108
GSE7621,nnls,OPCs,25,0.04694119068250323,0.039952495167220686,0.38194444444444453,0.35023758481899414
GSE7621,nnls,Endothelial cells,25,0.016324336628462457,0.021844146833260608,0.6041666666666667,0.4117027470058471
GSE7621,nnls,Inhibitory,25,0.0,0.0,0.53125,0.5049850750938458
GSE7621,nnls,Pericytes,25,0.0,0.0,0.4444444444444444,0.2112995473337107
GSE7621,nnls,CADPS2+ neurons,25,0.0,0.0,0.53125,0.5049850750938458
GSE7621,nnls,DaNs,25,0.0,0.0,0.3888888888888889,0.062271131875694274
GSE7621,nusvr,Oligodendrocytes,25,0.46012702719651105,0.517489057449265,0.7083333333333335,0.09489787392476422
GSE7621,nusvr,Astrocytes,25,0.2722592612541273,0.2655546185216224,0.4444444444444445,0.6711254583898127
GSE7621,nusvr,Microglia,25,0.030149975423409168,0.041239124550537354,0.6597222222222222,0.20238264270498285
GSE7621,nusvr,Excitatory,25,0.0,0.0,0.5138888888888888,0.8804557252298884
GSE7621,nusvr,OPCs,25,0.058927684894469916,0.0651421783198543,0.6527777777777779,0.22352896258794108
GSE7621,nusvr,Endothelial cells,25,0.01673664866898085,0.03295755409106722,0.7291666666666667,0.06577555183717868
GSE7621,nusvr,Inhibitory,25,0.043192805204321096,0.0051669810440848314,0.375,0.3103781712471365
GSE7621,nusvr,Pericytes,25,0.017568295278859707,0.009918108728495339,0.2916666666666667,0.0942624152250116
GSE7621,nusvr,GABA,25,0.0,0.0011956423217850363,0.5034722222222222,1.0
GSE7621,nusvr,CADPS2+ neurons,25,0.005187008712144359,0.005083597817938807,0.4618055555555556,0.7770820064232064
GSE7621,nusvr,DaNs,25,0.05303234193500877,0.0,0.10763888888888891,0.0007777575944422223
GSE7621,music,Oligodendrocytes,25,0.32456914999902803,0.3345835459230905,0.5486111111111112,0.7128806637550735
GSE7621,music,Astrocytes,25,0.1715452494673987,0.19604030158543753,0.5625,0.6303617542453392
GSE7621,music,Microglia,25,0.06224996955113781,0.10005732575461355,0.6527777777777778,0.22352896258794108
GSE7621,music,OPCs,25,0.0,0.014085780041333061,0.65625,0.20546817138758566
GSE7621,music,Endothelial cells,25,0.02120946148698784,0.027460986890701897,0.5555555555555556,0.6711254583898127
GSE7621,music,Inhibitory,25,0.25682413688143413,0.26002822174221984,0.5,1.0
GSE7621,music,Pericytes,25,0.025516976258295826,0.027346270796369997,0.5902777777777778,0.47914825725759425
GSE7621,music,Ependymal,25,0.0,0.0,0.53125,0.5049850750938458
GSE7621,music,CADPS2+ neurons,25,0.0,0.006434657282510534,0.7708333333333333,0.018755310861900885
GSE7621,music,DaNs,25,0.06354453321780845,0.0,0.1527777777777778,0.002033297934603666
GSE20292,nnls,Oligodendrocytes,29,0.04736192950656372,0.051924972925277854,0.6060606060606061,0.3568382475534896
GSE20292,nnls,Astrocytes,29,0.13930893987384507,0.13401461153634833,0.398989898989899,0.3807801097604444
GSE20292,nnls,Microglia,29,0.26885167939705856,0.2735748581866439,0.6414141414141414,0.21644626728745286
GSE20292,nnls,Excitatory,29,0.0,0.0037422009818119696,0.6338383838383839,0.18046661228205985
GSE20292,nnls,OPCs,29,0.06277460758358955,0.06444285092140553,0.5202020202020201,0.8749979379042403
GSE20292,nnls,Endothelial cells,29,0.06395111745155617,0.06830263207616849,0.8080808080808082,0.006542562867816488
