cohort,method,donor,marker_z,da_z,y
GSE7621,nnls,GSM184354,0.2525133408690156,-0.20531521224931315,0
GSE7621,nnls,GSM184355,-0.23876663392088504,-0.20531521224931315,0
GSE7621,nnls,GSM184356,1.4683281744021464,-0.20531521224931315,0
GSE7621,nnls,GSM184357,0.6734168806558755,-0.20531521224931315,0
GSE7621,nnls,GSM184358,-0.3129923094717064,-0.20531521224931315,0
GSE7621,nnls,GSM184359,0.7981896739637497,-0.20531521224931315,0
GSE7621,nnls,GSM184360,2.319585992818581,4.898902343484212,0
GSE7621,nnls,GSM184361,1.2902412502109168,-0.20531521224931315,0
GSE7621,nnls,GSM184362,1.9702412691409794,-0.1766524617500096,0
GSE7621,nnls,GSM184363,-1.0453683109811667,-0.20531521224931315,1
GSE7621,nnls,GSM184364,-0.22573042563283038,-0.20531521224931315,1
GSE7621,nnls,GSM184365,-0.674114213598193,-0.20531521224931315,1
GSE7621,nnls,GSM184366,-1.503522024781498,-0.20531521224931315,1
GSE7621,nnls,GSM184367,-0.6861722668987795,-0.20531521224931315,1
GSE7621,nnls,GSM184368,0.3826629531973765,-0.20531521224931315,1
GSE7621,nnls,GSM184369,-1.05742254042718,-0.20531521224931315,1
GSE7621,nnls,GSM184370,-1.5360273575439756,-0.20531521224931315,1
GSE7621,nnls,GSM184371,0.4759895443704669,-0.20531521224931315,1
GSE7621,nnls,GSM184372,-1.1828993666512215,-0.20531521224931315,1
GSE7621,nnls,GSM184373,0.318336198567108,-0.20531521224931315,1
GSE7621,nnls,GSM184374,-0.11711797130420105,-0.20531521224931315,1
GSE7621,nnls,GSM184375,-0.5946038859749393,-0.20531521224931315,1
GSE7621,nnls,GSM184376,-0.31862676175686877,-0.20531521224931315,1
GSE7621,nnls,GSM184377,-0.6488450356859407,-0.20531521224931315,1
GSE7621,nnls,GSM184378,0.192703826433169,-0.20531521224931315,1
GSE7621,nusvr,GSM184354,0.2525133408690156,0.0850661800326939,0
GSE7621,nusvr,GSM184355,-0.23876663392088504,-0.666314822221518,0
GSE7621,nusvr,GSM184356,1.4683281744021464,1.5456964074927653,0
GSE7621,nusvr,GSM184357,0.6734168806558755,1.0524870673651845,0
GSE7621,nusvr,GSM184358,-0.3129923094717064,-0.43425319687894515,0
GSE7621,nusvr,GSM184359,0.7981896739637497,0.6043347045484211,0
GSE7621,nusvr,GSM184360,2.319585992818581,2.9332581663864454,0
GSE7621,nusvr,GSM184361,1.2902412502109168,0.3162527395894488,0
GSE7621,nusvr,GSM184362,1.9702412691409794,2.559108512849364,0
GSE7621,nusvr,GSM184363,-1.0453683109811667,-0.666314822221518,1
GSE7621,nusvr,GSM184364,-0.22573042563283038,-0.666314822221518,1
GSE7621,nusvr,GSM184365,-0.674114213598193,-0.666314822221518,1
GSE7621,nusvr,GSM184366,-1.503522024781498,-0.666314822221518,1
GSE7621,nusvr,GSM184367,-0.6861722668987795,-0.666314822221518,1
GSE7621,nusvr,GSM184368,0.3826629531973765,0.05289695773562996,1
GSE7621,nusvr,GSM184369,-1.05742254042718,-0.666314822221518,1
GSE7621,nusvr,GSM184370,-1.5360273575439756,-0.666314822221518,1
GSE7621,nusvr,GSM184371,0.4759895443704669,-0.04145363004852049,1
GSE7621,nusvr,GSM184372,-1.1828993666512215,-0.666314822221518,1
GSE7621,nusvr,GSM184373,0.318336198567108,0.13506797103850163,1
GSE7621,nusvr,GSM184374,-0.11711797130420105,-0.34187261751944314,1
GSE7621,nusvr,GSM184375,-0.5946038859749393,-0.666314822221518,1
GSE7621,nusvr,GSM184376,-0.31862676175686877,-0.47081139593332966,1
GSE7621,nusvr,GSM184377,-0.6488450356859407,-0.666314822221518,1
GSE7621,nusvr,GSM184378,0.192703826433169,-0.666314822221518,1
GSE7621,music,GSM184354,0.2525133408690156,-0.18783654091528176,0
GSE7621,music,GSM184355,-0.23876663392088504,-0.4708897259561212,0
GSE7621,music,GSM184356,1.4683281744021464,1.8439300336275057,0
GSE7621,music,GSM184357,0.6734168806558755,-0.2053929637807777,0
GSE7621,music,GSM184358,-0.3129923094717064,-0.4708897259561212,0
GSE7621,music,GSM184359,0.7981896739637497,0.2614689292143095,0
GSE7621,music,GSM184360,2.319585992818581,3.481055315093555,0
GSE7621,music,GSM184361,1.2902412502109168,0.3002212012331108,0
GSE7621,music,GSM184362,1.9702412691409794,2.3827404621935058,0
GSE7621,music,GSM184363,-1.0453683109811667,-0.4708897259561212,1
GSE7621,music,GSM184364,-0.22573042563283038,-0.4708897259561212,1
GSE7621,music,GSM184365,-0.674114213598193,-0.4708897259561212,1
GSE7621,music,GSM184366,-1.503522024781498,-0.4708897259561212,1
GSE7621,music,GSM184367,-0.6861722668987795,-0.4708897259561212,1
GSE7621,music,GSM184368,0.3826629531973765,-0.24388924483972113,1
GSE7621,music,GSM184369,-1.05742254042718,-0.4708897259561212,1
GSE7621,music,GSM184370,-1.5360273575439756,-0.4708897259561212,1
GSE7621,music,GSM184371,0.4759895443704669,-0.17451297133235996,1
GSE7621,music,GSM184372,-1.1828993666512215,-0.4708897259561212,1
GSE7621,music,GSM184373,0.318336198567108,-0.4398496951134731,1
GSE7621,music,GSM184374,-0.11711797130420105,-0.4708897259561212,1
