,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000000003,0.69228905,35.714397,0.81439054,2.4100573,10.239212,11.314964,3.209534,21.921423,32.682198,1.7132629,0.0,2.5220537
ENSG00000000005,0.0,0.08618607,0.0,0.047455076,0.09508209,0.0,0.0,0.0,0.26351362,0.0,0.0,1.5624686
ENSG00000000419,38.33564,41.34329,40.192276,51.14714,33.425278,43.426952,49.439796,42.947403,33.33942,49.350685,48.216568,45.251675
ENSG00000000457,17.928574,26.880713,26.606127,18.628359,24.159801,22.886671,16.54166,18.46256,17.626385,18.319088,11.181776,18.579187
ENSG00000000460,21.873026,15.121578,36.517918,16.256008,12.306085,15.484851,15.671491,13.563343,9.977503,12.384306,26.855793,10.863072
ENSG00000000938,0.26071426,0.48206788,38.358425,0.23170608,0.7986667,123.76285,0.32828963,31.916515,0.0,0.78997284,3.8728282,0.8838403
ENSG00000000971,0.5264032,0.84493786,1.6166135,0.9979908,0.95843434,574.8826,0.73463386,436.7284,2.2582684,0.3425771,0.0,0.8838403
ENSG00000001036,14.730652,11.075669,28.759706,11.489787,5.0144343,6.407953,13.611117,17.969465,7.5452294,10.977218,2.0515513,10.162423
ENSG00000001084,91.89824,101.58408,57.099766,39.55671,51.609524,47.536472,38.669426,60.909523,62.906013,57.047447,30.32299,40.87498
ENSG00000001167,22.83293,13.622259,36.8614,6.9108963,10.889044,32.535072,5.6453476,25.514746,16.1172,6.559175,8.492858,9.450557
ENSG00000001460,26.772186,15.5351715,12.408719,23.42233,11.588867,4.5360117,28.889467,1.873051,66.52879,37.817932,24.90673,19.05414
ENSG00000001461,152.84091,31.68825,51.149326,50.94556,55.183975,18.359901,65.050606,10.770553,28.41034,68.90089,210.11458,78.97286
ENSG00000001497,20.199629,18.43992,16.700527,21.239977,18.167439,14.801365,19.8469,22.343937,17.592224,11.589132,31.960102,11.930103
ENSG00000001561,110.631935,37.93871,20.63189,23.560106,28.210186,42.130398,27.209187,18.160765,40.898884,16.67748,5.9243793,26.69451
ENSG00000001617,0.2685252,0.45155108,1.2286543,11.21631,0.29075736,103.80578,3.6122339,34.78744,0.0,9.532039,0.0,2.3168418
ENSG00000001626,49.42495,4.5552325,14.795706,10.077925,21.554192,6.747612,9.359164,2.6317456,1.931061,5.4152794,3.770341,0.7543731
ENSG00000001629,586.0045,213.90215,214.54073,306.01593,267.11536,194.99037,320.57376,181.94139,126.98248,230.1669,285.53882,349.59787
ENSG00000001630,1.3718688,0.8241654,0.0,0.6176457,0.96046066,0.12136286,0.8898283,0.039433125,0.0,0.37033463,0.0,0.0
ENSG00000001631,124.460175,74.51922,98.23415,93.32351,79.258896,98.9616,104.5675,117.834206,90.52004,85.50642,112.147156,84.914696
ENSG00000002016,44.237778,51.909866,37.907352,41.656384,39.263798,18.16324,44.952213,23.758095,53.784046,31.00607,39.31662,51.103878
ENSG00000002330,18.283495,13.032821,7.9328504,14.652246,11.659381,30.331856,13.825517,43.119354,15.5112095,21.373524,12.771318,9.052886
ENSG00000002549,22.504387,23.87312,107.73327,9.490508,11.287417,115.408806,9.502226,43.326145,17.303934,7.6648126,8.492858,5.032892
ENSG00000002586,1.8928208,125.631615,86.65899,5.1547756,4.8146167,140.48625,2.7750223,119.459694,214.55132,1.6740347,2.0515513,3.0174923
ENSG00000002587,0.28807652,6.0170093,12.666037,12.795707,121.110954,6.633229,10.459217,14.751429,4.8999243,3.8044086,95.7735,9.829281
ENSG00000002726,0.06609864,0.41334188,0.43119457,0.063942775,0.13324785,0.14888567,0.039184902,0.070252694,1.3505424,0.52669317,0.0,0.0
ENSG00000002745,0.15959586,0.129031,0.24652778,0.78456306,0.0,0.089550525,0.44245264,0.7161267,9.395958,0.12644286,0.0,0.0
ENSG00000002746,2.5526338,10.173005,5.0146456,493.39502,470.89462,2.7018964,364.65805,11.734277,1.2080139,19.176916,314.52512,509.01172
ENSG00000002822,73.01356,40.39299,138.65688,38.9499,44.34199,61.416763,36.817207,55.439457,37.82537,34.00544,86.132126,45.467693
ENSG00000002834,8.901839,44.38889,70.90327,35.1536,23.780146,93.131584,38.681698,100.115654,26.275715,60.115192,21.700886,55.37973
ENSG00000002919,12.061794,6.202473,18.324287,6.8526325,4.8531113,11.365695,7.0249906,15.832767,6.7205267,9.720484,5.3598833,10.615354
ENSG00000002933,0.30574965,14.877085,23.16702,1.9536277,5.3499455,2.505253,0.5260318,8.761115,2.1108558,4.1880693,0.0,0.8838403
ENSG00000003056,23.217257,21.72473,61.628357,28.527977,21.843653,35.84348,33.8602,45.66227,25.922073,31.334824,14.952117,25.638695
ENSG00000003096,16.175482,48.837452,3.5269103,82.70676,95.58186,6.5053515,60.86951,50.352787,80.08412,132.08888,5.2320957,149.05939
ENSG00000003137,0.1829576,2.675218,0.34870735,1.1380891,5.5891223,0.3747268,1.0305098,0.7863794,0.13175681,0.026906991,5.8218923,1.1852821
ENSG00000003147,1.3082635,2.4105043,30.51892,123.0458,65.042816,129.81131,119.30781,34.860916,7.7213097,152.00497,122.00982,53.851223
