,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000003393,49.45276,40.32544,35.720703,77.419174,51.176147,68.85459,88.29407,61.88246,83.46248,70.215775,389.8897,91.33039
ENSG00000003436,0.6289683,1.3323065,0.41993234,0.6743852,0.48336974,69.419365,0.5684993,424.1471,10.068262,0.28873533,0.0,0.0
ENSG00000004838,3.0745828,4.941781,2.2134993,2.5259573,1.0938423,1.6414524,0.8518097,1.6666487,139.11021,0.13032983,2.0515513,0.0
ENSG00000004948,0.27258965,0.25797695,8.575927,12.588254,0.48459923,0.9488124,24.48687,0.17219457,0.50809395,0.13032983,0.0,2.2631195
ENSG00000005981,1.8728253,9.87594,0.16926996,1.2265601,3.5570183,0.7464845,0.9964028,2.7436519,4.1146464,0.026906991,0.0,45.2841
ENSG00000006042,200.10806,11.710733,14.670587,2.8107107,7.6432705,4.342825,2.5294497,19.762869,14.592344,8.540682,8.954867,2.7697732
ENSG00000006128,0.8069824,1.5879669,1.2826399,98.66543,0.74216634,0.5741408,65.82518,0.8167688,0.09199717,15.5972595,0.0,26.467997
ENSG00000006283,0.30707487,0.92415565,0.71547467,42.359726,23.189499,0.276135,57.43556,0.43154976,2.1973598,129.15005,2.0515513,38.4511
ENSG00000006638,0.43448016,0.48885247,1.2517781,1.1010731,0.33631423,5.87269,1.1881857,28.020147,0.64535344,0.25571656,0.0,0.8838403
ENSG00000007174,42.006786,47.37521,6.3307343,60.780945,11.203745,7.5428233,35.152733,7.4833283,2538.5305,11.080968,3.8728282,52.613754
ENSG00000007908,0.2949648,0.17863455,0.103477694,0.17126602,0.05238117,33.363182,0.15735537,4.0715313,0.31575117,0.026906991,0.0,0.0
ENSG00000007933,0.079969585,0.23548616,0.027798027,0.07889556,2.913495,4.477489,0.061925806,35.780796,2.597135,0.0,0.0,0.0
ENSG00000008196,0.16718477,1.5832464,0.31475353,33.317757,0.24936962,0.14888567,48.221542,0.086097285,0.0,0.0,0.0,0.0
