gene,symbol,name,direction,hedges_g_discovery,p_discovery,deg,boruta_fold_frequency,shap_rank,single_gene_auc,g_external_neuron_adjusted,replicates_in_bulk,dopamine_lineage_score,top_subtype_marker,pd_association_open_targets,pd_genetic_association,pd_literature,best_pathway_neighbours,summary
ENSG00000136040,PLXNC1,plexin C1,up,1.2294639068927786,0.000141686212522,True,0.96,2,0.7797979797979798,0.5624802781723726,True,7.697105127385006,CALB1_CALCR,0.0014783194187388072,0.0,0.012158615952232422,"Negative Regulation Of Cell Adhesion (GO:0007162) (GO:BP; p=3.5e-01, FDR=0.74)",This gene encodes a member of the plexin family.
ENSG00000172137,CALB2,calbindin 2,up,1.0371110702903217,0.0008888447033424,True,0.52,12,0.7444444444444445,0.3534372448900706,True,3.684849617114178,CALB1_GEM,0.0573699067057432,0.0,0.31545107564532804,"Calcium Ion Binding (GO:0005509) (GO:MF; p=2.9e-01, FDR=0.74)",This gene encodes an intracellular calcium-binding protein belonging to the troponin C superfamily.
ENSG00000173914,RBM4B,RNA binding motif protein 4B,up,1.0319787823540092,0.0001767233065306,True,1.0,1,0.7757575757575758,0.659102746660229,True,-1.8245803708765886,SOX6_DDT,0.0,0.0,0.0,"mRNA Splicing, Via Spliceosome (GO:0000398) (GO:BP; p=3.2e-01, FDR=0.74)",Enables RNA binding activity.
ENSG00000136235,GPNMB,glycoprotein nmb,up,0.970446065379424,0.0002725729847452,True,0.92,3,0.7676767676767677,0.4260457458774654,True,-0.4989439996602775,SOX6_AGTR1,0.5037561685181942,0.7819308449600633,0.9341960096792198,"Regulation Of T Cell Activation (GO:0050863) (GO:BP; p=1.9e-01, FDR=0.74)","The protein encoded by this gene is a type I transmembrane glycoprotein which shows homology to the pMEL17 precursor, a melanocyte-specific protein."
ENSG00000089280,FUS,FUS RNA binding protein,up,0.8925165752231696,0.002887350725337,True,0.36,20,0.7191919191919192,0.0732449244745336,True,0.0,,0.04596435354129424,0.0,0.25161291834219013,"Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168) (GO:BP; p=1.1e-01, FDR=0.74)",This gene encodes a multifunctional protein component of the heterogeneous nuclear ribonucleoprotein (hnRNP) complex.
ENSG00000101040,ZMYND8,zinc finger MYND-type containing 8,up,0.8919654780286039,0.0009337188905198,True,0.84,6,0.7434343434343434,0.2881492683099391,True,-1.5802246266228808,SOX6_GFRA2,0.004337170741338559,0.0,0.030396539880581056,"Double-Strand Break Repair Via Homologous Recombination (GO:0000724) (GO:BP; p=2.7e-01, FDR=0.74)",The protein encoded by this gene is a receptor for activated C-kinase (RACK) protein.
ENSG00000196367,TRRAP,transformation/transcription domain associated protein,up,0.8322070656777519,0.001586432753544,True,0.32,30,0.7323232323232324,0.0599308860392685,True,0.55594488691528,CALB1_CALCR,0.3325209330629493,0.0,0.0,"Histone H2A Acetylation (GO:0043968) (GO:BP; p=4.6e-02, FDR=0.74)",This gene encodes a large multidomain protein of the phosphoinositide 3-kinase-related kinases (PIKK) family.
ENSG00000143847,PPFIA4,PPFI scaffold protein A4,up,0.8241694594587151,0.0009337188905198,True,0.76,9,0.7434343434343434,0.464652965928062,True,0.9804841432914665,CALB1_PPP1R17,0.0073915970936940375,0.0,0.06079307976116211,"Serotonin Neurotransmitter Release Cycle R-HSA-181429 (Reactome; p=4.5e-01, FDR=0.74)","PPFIA4, or liprin-alpha-4, belongs to the liprin-alpha gene family."
ENSG00000164151,ICE1,interactor of little elongation complex ELL subunit 1,up,0.7281949214079321,0.0135004521697941,False,0.8,5,0.6818181818181819,0.1360254627703265,True,0.0,,0.0,0.0,0.0,"Regulation Of Transcription By RNA Polymerase III (GO:0006359) (GO:BP; p=2.2e-01, FDR=0.74)",Enables protein-macromolecule adaptor activity.
ENSG00000119866,BCL11A,BCL11 transcription factor A,up,0.7031794754162113,0.0010298290629904,True,0.4,28,0.7414141414141414,0.1574618678603392,True,0.6682984775575544,SOX6_GFRA2,0.00819235344551089,0.0,0.06737899673528801,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227) (GO:MF; p=1.7e-01, FDR=0.74)",This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein.
ENSG00000114302,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha,up,0.6889060107623163,0.0179280636346651,False,0.32,22,0.6742424242424243,-0.0821914123460424,False,-0.036380689071914274,SOX6_GFRA2,0.01979006469798571,0.0,0.16276576853594993,"Plasma Membrane Raft (GO:0044853) (GO:CC; p=3.5e-01, FDR=0.74)",cAMP is a signaling molecule important for a variety of cellular functions.
ENSG00000132002,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,up,0.6789664749387754,0.0074347147526906,True,0.56,11,0.696969696969697,0.3658861134130242,True,-2.960348980936168,SOX6_DDT,0.08919525582949817,0.0,0.7302446089406338,"Attenuation Phase R-HSA-3371568 (Reactome; p=8.5e-02, FDR=0.74)",This gene encodes a member of the DnaJ or Hsp40 (heat shock protein 40 kD) family of proteins.
ENSG00000197448,GSTK1,glutathione S-transferase kappa 1,up,0.617329510174259,0.0026383344145603,True,0.36,14,0.7212121212121213,0.0437390092987635,True,0.46397547063817157,SOX6_DDT,0.003326218692162316,0.0,0.02735688589252295,"Epithelial Cell Differentiation (GO:0030855) (GO:BP; p=2.6e-01, FDR=0.74)",This gene encodes a member of the kappa class of the glutathione transferase superfamily of enzymes that function in cellular detoxification.
ENSG00000104327,CALB1,calbindin 1,up,0.5680324755760822,0.0044850799952137,True,0.52,10,0.709090909090909,0.4536330770674598,True,15.367524036537558,CALB1_CALCR,0.08909162182492412,0.0,0.47856536620198986,"Amyloid Fiber Formation R-HSA-977225 (Reactome; p=7.0e-02, FDR=0.74)",The protein encoded by this gene is a member of the calcium-binding protein superfamily that includes calmodulin and troponin C.
ENSG00000145050,MANF,mesencephalic astrocyte derived neurotrophic factor,up,0.5501630036073192,0.016953475524816,False,0.16,25,0.6757575757575758,0.3909554263137294,True,-1.01269039561239,SOX6_DDT,0.11097903228202782,0.0,0.8409637784109902,"Endoplasmic Reticulum Lumen (GO:0005788) (GO:CC; p=2.4e-01, FDR=0.74)","The protein encoded by this gene is localized in the endoplasmic reticulum (ER) and golgi, and is also secreted."
