list,library,term,size,hits,genes,p,q_BH,fwer_random,p_vs_matched,fwer_matched
all,GO:BP,Regulation Of Long-Term Synaptic Potentiation (GO:1900271),16,3,"CALB1, CALB2, LGMN",7.329146371797347e-05,0.2599648218076519,0.05697151424287856,0.0004997501249375312,0.09745127436281859
all,GO:BP,Cellular Response To Calcium Ion (GO:0071277),27,3,"CACNA1A, CPNE3, LGMN",0.00036793860882533655,0.6525391227517344,0.1854072963518241,0.0024987506246876563,0.2543728135932034
all,GO:BP,Regulation Of Cell Migration (GO:0030334),148,5,"CPNE3, GPNMB, PLXNC1, SCAI, ZMYND8",0.0009894220304006234,0.8906180148436018,0.3453273363318341,0.005997001499250375,0.40929535232383807
all,GO:BP,Cellular Response To Salt (GO:1902075),38,3,"CACNA1A, CPNE3, LGMN",0.001019977080194054,0.8906180148436018,0.35782108945527236,0.0029985007496251873,0.4257871064467766
all,GO:BP,Response To Calcium Ion (GO:0051592),42,3,"CACNA1A, CPNE3, LGMN",0.0013681947413528189,0.8906180148436018,0.5132433783108445,0.004497751124437781,0.5862068965517241
all,GO:BP,Regulation Of Cellular Response To Stress (GO:0080135),45,3,"DNAJB1, MANF, TRRAP",0.0016730325876655907,0.8906180148436018,0.6341829085457271,0.004997501249375313,0.697151424287856
all,GO:BP,Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),12,2,"CALB1, CALB2",0.0017576335223865838,0.8906180148436018,0.703648175912044,0.0004997501249375312,0.7636181909045477
all,GO:BP,Cellular Response To Metal Ion (GO:0071248),50,3,"CACNA1A, CPNE3, LGMN",0.0022697337141323595,0.9321483405910858,0.7791104447776112,0.005497251374312844,0.8310844577711144
all,Reactome,Peptide Ligand-Binding Receptors R-HSA-375276,14,2,"GPNMB, SSTR1",0.002407380137832976,0.9321483405910858,0.8170914542728636,0.0004997501249375312,0.8645677161419291
all,GO:BP,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),15,2,"FUS, TRRAP",0.0027685517843057113,0.9321483405910858,0.8520739630184908,0.010994502748625687,0.9050474762618691
all,GO:BP,Cellular Response To Growth Factor Stimulus (GO:0071363),56,3,"CPNE3, LGMN, SOX6",0.0031416238345294122,0.9321483405910858,0.8615692153923038,0.001999000499750125,0.9120439780109945
all,GO:BP,Cellular Response To Amyloid-Beta (GO:1904646),16,2,"CACNA1A, LGMN",0.003153588972961102,0.9321483405910858,0.8840579710144928,0.01249375312343828,0.9305347326336831
all,GO:BP,Response To Amyloid-Beta (GO:1904645),17,2,"CACNA1A, LGMN",0.003562243973711684,0.9719445672888725,0.9045477261369316,0.01249375312343828,0.9440279860069966
all,Reactome,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,19,2,"GPNMB, SSTR1",0.004449425542333239,1.0,0.9380309845077461,0.0004997501249375312,0.9700149925037481
all,GO:BP,Cellular Response To Oxygen-Containing Compound (GO:1901701),131,4,"CACNA1A, CPNE3, LGMN, SSTR1",0.004823417566783519,1.0,0.9405297351324338,0.010494752623688156,0.9700149925037481
all,GO:BP,Cellular Response To Peptide (GO:1901653),20,2,"CACNA1A, LGMN",0.004927465667432041,1.0,0.9500249875062469,0.01249375312343828,0.9780109945027486
all,GO:BP,Positive Regulation Of DNA Recombination (GO:0045911),20,2,"FUS, TRRAP",0.004927465667432041,1.0,0.9500249875062469,0.010994502748625687,0.9780109945027486
all,GO:BP,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),25,2,"FUS, TRRAP",0.007652590544355898,1.0,0.9845077461269365,0.020989505247376312,0.9905047476261869
all,GO:BP,Negative Regulation Of Neuron Death (GO:1901215),27,2,"GPNMB, LGMN",0.008894554548179107,1.0,0.9880059970014993,0.031484257871064465,0.9940029985007496
all,GO:BP,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),29,2,"CACNA1A, IBTK",0.010220560062704272,1.0,0.993503248375812,0.015492253873063468,0.9945027486256871
all,GO:MF,Methylation-Dependent Protein Binding (GO:0140034),29,2,"L3MBTL1, ZMYND8",0.010220560062704272,1.0,0.993503248375812,0.013993003498250875,0.9945027486256871
all,GO:BP,Memory (GO:0007613),32,2,"CALB1, LGMN",0.012363200706897363,1.0,0.9955022488755623,0.0004997501249375312,0.9975012493753124
all,GO:MF,Methylated Histone Binding (GO:0035064),32,2,"L3MBTL1, ZMYND8",0.012363200706897363,1.0,0.9955022488755623,0.0069965017491254375,0.9975012493753124
all,GO:MF,Cysteine-Type Endopeptidase Activity (GO:0004197),34,2,"CFLAR, LGMN",0.013891462823654553,1.0,0.9970014992503748,0.005997001499250375,0.9985007496251874
all,GO:BP,Positive Regulation Of Double-Strand Break Repair (GO:2000781),36,2,"FUS, TRRAP",0.015497558223053126,1.0,0.9985007496251874,0.010994502748625687,0.9985007496251874
all,Reactome,GPCR Ligand Binding R-HSA-500792,36,2,"GPNMB, SSTR1",0.015497558223053126,1.0,0.9985007496251874,0.00849575212393803,0.9985007496251874
all,Reactome,Regulation Of Insulin Secretion R-HSA-422356,36,2,"CACNA1A, PRKAR2A",0.015497558223053126,1.0,0.9985007496251874,0.0029985007496251873,0.9985007496251874
all,GO:BP,Nervous System Development (GO:0007399),188,4,"CNTN4, SH3GL3, SOX6, ZMYND8",0.016808630428948933,1.0,0.9985007496251874,0.008995502248875561,0.9985007496251874
all,GO:MF,Calcium Ion Binding (GO:0005509),117,3,"CACNA1A, CALB1, CALB2",0.023703151134346442,1.0,0.9985007496251874,0.08045977011494253,0.9995002498750625
all,GO:BP,Regulation Of Mitotic Cell Cycle (GO:0007346),47,2,"L3MBTL1, LGMN",0.025646993638413173,1.0,0.999000499750125,0.029985007496251874,0.9995002498750625
all,GO:BP,Regulation Of RNA Metabolic Process (GO:0051252),48,2,"FUS, TRRAP",0.026674368642091013,1.0,0.9995002498750625,0.004997501249375313,0.9995002498750625
all,Reactome,GPCR Downstream Signaling R-HSA-388396,126,3,"GPNMB, PRKAR2A, SSTR1",0.02872452182486515,1.0,0.9995002498750625,0.01699150424787606,0.9995002498750625
all,GO:BP,Central Nervous System Development (GO:0007417),129,3,"CNTN4, SH3GL3, SOX6",0.030515464168847706,1.0,0.9995002498750625,0.029985007496251874,1.0
all,Reactome,Integration Of Energy Metabolism R-HSA-163685,52,2,"CACNA1A, PRKAR2A",0.030947824592981305,1.0,0.9995002498750625,0.005497251374312844,1.0
all,Reactome,Transmission Across Chemical Synapses R-HSA-112315,131,3,"CACNA1A, PPFIA4, PRKAR2A",0.03174188597082742,1.0,0.9995002498750625,0.013993003498250875,1.0
all,GO:MF,Zinc Ion Binding (GO:0008270),133,3,"C11ORF54, CALB1, ZMYND8",0.03299422423856339,1.0,0.9995002498750625,0.02798600699650175,1.0
all,Reactome,Signaling By GPCR R-HSA-372790,134,3,"GPNMB, PRKAR2A, SSTR1",0.033630095771433006,1.0,1.0,0.028985507246376812,1.0
all,GO:BP,Neuron Differentiation (GO:0030182),57,2,"CFLAR, MANF",0.03664430333074529,1.0,1.0,0.01899050474762619,1.0
all,GO:BP,Negative Regulation Of Cell Motility (GO:2000146),58,2,"SCAI, ZMYND8",0.037829027585409285,1.0,1.0,0.095952023988006,1.0
all,GO:BP,Plasma Membrane Bounded Cell Projection Organization (GO:0120036),59,2,"CNTN4, MANF",0.03902846993245723,1.0,1.0,0.05147426286856572,1.0
all,GO:BP,Regulation Of RNA Splicing (GO:0043484),60,2,"FUS, TRRAP",0.04024245113232986,1.0,1.0,0.008995502248875561,1.0
all,GO:BP,Positive Regulation Of Cell Motility (GO:2000147),62,2,"CPNE3, GPNMB",0.04271332002636405,1.0,1.0,0.16491754122938532,1.0
all,GO:BP,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),149,3,"FUS, SOX6, TRRAP",0.04393803587179306,1.0,1.0,0.07596201899050475,1.0
all,GO:BP,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),63,2,"ADGRB3, GPNMB",0.04396985610898493,1.0,1.0,0.053973013493253376,1.0
all,Reactome,G Alpha (I) Signaling Events R-HSA-418594,64,2,"PRKAR2A, SSTR1",0.04524022780381713,1.0,1.0,0.025487256371814093,1.0
all,GO:BP,Axon Guidance (GO:0007411),67,2,"CNTN4, PLXNC1",0.049132638991581656,1.0,1.0,0.07846076961519241,1.0
all,GO:BP,Negative Regulation Of Cell Migration (GO:0030336),69,2,"SCAI, ZMYND8",0.05179363221142004,1.0,1.0,0.15242378810594703,1.0
all,WikiPathways,Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706,70,2,"PRKAR2A, SSTR1",0.053143443154280295,1.0,1.0,0.02348825587206397,1.0
all,KEGG,Chemical carcinogenesis,72,2,"CACNA1A, GSTK1",0.05588087104136761,1.0,1.0,0.06646676661669165,1.0
all,GO:CC,Neuron Projection (GO:0043005),276,4,"CALB1, CALB2, CNTN4, SSTR1",0.05705179990678792,1.0,1.0,0.03298350824587706,1.0
all,WikiPathways,Calcium Regulation In Cardiac Cells WP536,74,2,"CACNA1A, PRKAR2A",0.05866762500961539,1.0,1.0,0.09095452273863068,1.0
all,GO:MF,Transition Metal Ion Binding (GO:0046914),174,3,"C11ORF54, CALB1, ZMYND8",0.06423619852323674,1.0,1.0,0.04897551224387806,1.0
all,GO:BP,Brain Development (GO:0007420),80,2,"CNTN4, SOX6",0.06731113785008323,1.0,1.0,0.14992503748125938,1.0
all,Reactome,Neuronal System R-HSA-112316,178,3,"CACNA1A, PPFIA4, PRKAR2A",0.06783113337922972,1.0,1.0,0.06796601699150424,1.0
all,GO:BP,Neuron Development (GO:0048666),81,2,"CNTN4, MANF",0.06879139900678165,1.0,1.0,0.049475262368815595,1.0
all,GO:BP,Positive Regulation Of Cell Migration (GO:0030335),81,2,"CPNE3, GPNMB",0.06879139900678165,1.0,1.0,0.18590704647676162,1.0
all,Reactome,TCF Dependent Signaling In Response To WNT R-HSA-201681,82,2,"SOX6, TRRAP",0.07028258981238342,1.0,1.0,0.02498750624687656,1.0
all,GO:MF,Metal Ion Binding (GO:0046872),190,3,"CACNA1A, CALB1, CALB2",0.07916294797762088,1.0,1.0,0.13243378310844578,1.0
all,Reactome,Ub-specific Processing Proteases R-HSA-5689880,91,2,"TRRAP, USP12",0.08417084030793084,1.0,1.0,0.009995002498750625,1.0
all,GO:BP,Neuron Projection Development (GO:0031175),94,2,"CNTN4, MANF",0.08897609993422717,1.0,1.0,0.09095452273863068,1.0
all,GO:BP,Regulation Of Protein Phosphorylation (GO:0001932),101,2,"GPNMB, IBTK",0.1004997966761318,1.0,1.0,0.18190904547726136,1.0
all,GO:BP,Negative Regulation Of DNA-templated Transcription (GO:0045892),343,4,"BCL11A, DNAJB1, L3MBTL1, ZMYND8",0.10692922987655122,1.0,1.0,0.25487256371814093,1.0
all,Reactome,Deubiquitination R-HSA-5688426,118,2,"TRRAP, USP12",0.13006631430342652,1.0,1.0,0.10044977511244378,1.0
all,GO:BP,Regulation Of Cell Cycle (GO:0051726),120,2,"L3MBTL1, TRRAP",0.13367208939611516,1.0,1.0,0.17541229385307347,1.0
all,GO:BP,Regulation Of Gene Expression (GO:0010468),374,4,"FUS, LGMN, SOX6, TRRAP",0.13518956286685982,1.0,1.0,0.2223888055972014,1.0
all,GO:BP,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),245,3,"BCL11A, DNAJB1, ZMYND8",0.14047083902668248,1.0,1.0,0.30934532733633185,1.0
all,GO:CC,Axon (GO:0030424),126,2,"CALB1, CNTN4",0.14462776787891618,1.0,1.0,0.1619190404797601,1.0
all,Reactome,Signaling By WNT R-HSA-195721,126,2,"SOX6, TRRAP",0.14462776787891618,1.0,1.0,0.10644677661169415,1.0
all,GO:BP,Negative Regulation Of Gene Expression (GO:0010629),127,2,"GPNMB, LGMN",0.14647277209848975,1.0,1.0,0.25737131434282856,1.0
all,GO:CC,Dendrite (GO:0030425),138,2,"CALB1, CALB2",0.16708676426506897,1.0,1.0,0.1089455272363818,1.0
all,Reactome,Metabolism Of Lipids R-HSA-556833,281,3,"CPNE3, ELOVL7, LGMN",0.18731030629347548,1.0,1.0,0.15142428785607195,1.0
all,GO:BP,Negative Regulation Of Apoptotic Process (GO:0043066),165,2,"CFLAR, LGMN",0.21954559576396937,1.0,1.0,0.32233883058470764,1.0
all,GO:CC,Focal Adhesion (GO:0005925),165,2,"CPNE3, PRKAR2A",0.21954559576396937,1.0,1.0,0.1714142928535732,1.0
all,GO:CC,Cell-Substrate Junction (GO:0030055),167,2,"CPNE3, PRKAR2A",0.22350388898328985,1.0,1.0,0.1714142928535732,1.0
all,GO:CC,Nucleolus (GO:0005730),319,3,"CPNE3, L3MBTL1, ZMYND8",0.24069215069886693,1.0,1.0,0.18490754622688654,1.0
all,GO:MF,Protein Kinase Binding (GO:0019901),177,2,"IBTK, PRKAR2A",0.24338633276153182,1.0,1.0,0.16841579210394803,1.0
all,GO:CC,Nuclear Lumen (GO:0031981),321,3,"CPNE3, L3MBTL1, ZMYND8",0.24358388647208215,1.0,1.0,0.21039480259870064,1.0
all,GO:CC,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),474,4,"CPNE3, FUS, L3MBTL1, ZMYND8",0.24366685839279587,1.0,1.0,0.19390304847576212,1.0
all,GO:BP,Negative Regulation Of Cellular Process (GO:0048523),179,2,"GPNMB, PLXNC1",0.2473771760085291,1.0,1.0,0.08995502248875563,1.0
all,GO:MF,Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),193,2,"BCL11A, SOX6",0.2753847424382228,1.0,1.0,0.40429785107446276,1.0
all,Reactome,Hemostasis R-HSA-109582,194,2,"MANF, PRKAR2A",0.2773875264131589,1.0,1.0,0.3588205897051474,1.0
all,GO:MF,RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),195,2,"BCL11A, SOX6",0.27939030274099175,1.0,1.0,0.40429785107446276,1.0
all,GO:MF,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),219,2,"BCL11A, SOX6",0.32731925960704306,1.0,1.0,0.47926036981509246,1.0
all,GO:BP,Regulation Of Cell Population Proliferation (GO:0042127),226,2,"GPNMB, LGMN",0.3411933475580061,1.0,1.0,0.4147926036981509,1.0
all,GO:BP,Regulation Of Apoptotic Process (GO:0042981),257,2,"CFLAR, TRRAP",0.40157102860776456,1.0,1.0,0.526736631684158,1.0
all,Reactome,Axon Guidance R-HSA-422475,267,2,"PLXNC1, PRKAR2A",0.42056870405302016,1.0,1.0,0.22538730634682658,1.0
all,Reactome,Nervous System Development R-HSA-9675108,276,2,"PLXNC1, PRKAR2A",0.4374272041243118,1.0,1.0,0.22538730634682658,1.0
all,GO:CC,Intracellular Organelle Lumen (GO:0070013),296,2,"GSTK1, MANF",0.47399521477290485,1.0,1.0,0.4382808595702149,1.0
all,Reactome,Innate Immune System R-HSA-168249,370,2,"CPNE3, LGMN",0.5968002111738702,1.0,1.0,0.5302348825587206,1.0
all,Reactome,Developmental Biology R-HSA-1266738,384,2,"PLXNC1, PRKAR2A",0.6176309241142521,1.0,1.0,0.43428285857071464,1.0
all,GO:BP,Positive Regulation Of DNA-templated Transcription (GO:0045893),415,2,"ICE1, TRRAP",0.6609567486270786,1.0,1.0,0.7931034482758621,1.0
all,Reactome,Infectious Disease R-HSA-5663205,425,2,"PRKAR2A, SH3GL3",0.6741143534920756,1.0,1.0,0.5322338830584707,1.0
all,Reactome,RNA Polymerase II Transcription R-HSA-73857,437,2,"ICE1, L3MBTL1",0.6893827170993788,1.0,1.0,0.7586206896551724,1.0
all,Reactome,Gene Expression (Transcription) R-HSA-74160,497,2,"ICE1, L3MBTL1",0.7574780840430835,1.0,1.0,0.824087956021989,1.0
down,GO:BP,Cellular Response To Growth Factor Stimulus (GO:0071363),56,3,"CPNE3, LGMN, SOX6",0.0001932924454101318,0.6856083038697375,0.08695652173913043,0.0004997501249375312,0.07246376811594203
down,GO:BP,Cellular Response To Calcium Ion (GO:0071277),27,2,"CPNE3, LGMN",0.0014232853635927417,1.0,0.5352323838080959,0.0004997501249375312,0.5317341329335332
down,GO:BP,Central Nervous System Development (GO:0007417),129,3,"CNTN4, SH3GL3, SOX6",0.0022313162169784384,1.0,0.6301849075462269,0.0024987506246876563,0.6036981509245377
down,GO:BP,Cellular Response To Oxygen-Containing Compound (GO:1901701),131,3,"CPNE3, LGMN, SSTR1",0.002331901145846149,1.0,0.6426786606696652,0.004497751124437781,0.6206896551724138
down,GO:BP,Cellular Response To Salt (GO:1902075),38,2,"CPNE3, LGMN",0.002813666844264385,1.0,0.6891554222888556,0.001999000499750125,0.6691654172913544
down,GO:BP,Response To Calcium Ion (GO:0051592),42,2,"CPNE3, LGMN",0.003429729458464795,1.0,0.7296351824087957,0.0004997501249375312,0.6966516741629185
down,GO:BP,Cellular Response To Metal Ion (GO:0071248),50,2,"CPNE3, LGMN",0.004833614334114764,1.0,0.7866066966516742,0.001999000499750125,0.7591204397801099
down,GO:BP,Nervous System Development (GO:0007399),188,3,"CNTN4, SH3GL3, SOX6",0.006477214728005246,1.0,0.8260869565217391,0.004997501249375313,0.8075962018990505
down,GO:BP,Brain Development (GO:0007420),80,2,"CNTN4, SOX6",0.012033054987201277,1.0,0.8975512243878061,0.041979010494752625,0.888055972013993
down,Reactome,Metabolism Of Lipids R-HSA-556833,281,3,"CPNE3, ELOVL7, LGMN",0.019415626019886584,1.0,0.9340329835082459,0.031984007996002,0.92103948025987
down,GO:BP,Regulation Of Cell Migration (GO:0030334),148,2,"CPNE3, SCAI",0.038217743110485466,1.0,0.9740129935032483,0.04147926036981509,0.9610194902548725
down,GO:CC,Neuron Projection (GO:0043005),276,2,"CNTN4, SSTR1",0.11462999422836435,1.0,0.9910044977511244,0.12443778110944528,0.991504247876062
down,Reactome,Innate Immune System R-HSA-168249,370,2,"CPNE3, LGMN",0.18463346190875626,1.0,0.9950024987506247,0.18290854572713644,0.9940029985007496
down,GO:BP,Regulation Of Gene Expression (GO:0010468),374,2,"LGMN, SOX6",0.1877700460506418,1.0,0.9950024987506247,0.1854072963518241,0.9940029985007496
up,GO:BP,Regulation Of Cellular Response To Stress (GO:0080135),45,3,"DNAJB1, MANF, TRRAP",0.000359601488975571,1.0,0.1374312843578211,0.0009995002498750624,0.21339330334832585
up,GO:BP,Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),12,2,"CALB1, CALB2",0.0006270673149167523,1.0,0.36031984007996004,0.0004997501249375312,0.47226386806596704
up,GO:BP,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),15,2,"FUS, TRRAP",0.0009919441008202756,1.0,0.49775112443778113,0.0079960019990005,0.6761619190404797
up,GO:BP,Regulation Of Long-Term Synaptic Potentiation (GO:1900271),16,2,"CALB1, CALB2",0.0011315017045401875,1.0,0.5302348825587206,0.0004997501249375312,0.7151424287856072
up,GO:BP,Positive Regulation Of DNA Recombination (GO:0045911),20,2,"FUS, TRRAP",0.0017780039409035554,1.0,0.6741629185407296,0.0079960019990005,0.8110944527736131
up,GO:BP,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),25,2,"FUS, TRRAP",0.0027808900482652575,1.0,0.777111444277861,0.013493253373313344,0.8790604697651174
up,GO:MF,Methylation-Dependent Protein Binding (GO:0140034),29,2,"L3MBTL1, ZMYND8",0.0037350547318123154,1.0,0.8265867066466767,0.01249375312343828,0.9165417291354323
