library,term,size,anchors,direction,neighbours,shift,p,fwer,fdr,neighbour_median_percentile,top_neighbours
WikiPathways,Apoptosis WP254,22,CFLAR,up,21,0.18530263663047836,0.04499100179964007,0.6280743851229754,0.7378152777777778,0.7696549270722163,"BOK, TRAF3, IGF1R, SCAF11, IGF1, JUN"
GO:BP,Histone H2A Acetylation (GO:0043968),10,TRRAP,up,9,0.2501504172881444,0.04599080183963208,0.6352729454109178,0.7378152777777778,0.8141230878690857,"EP400, EPC1, RUVBL2, MSL3, VPS72, MORF4L1"
GO:BP,Regulation Of Mitotic Nuclear Division (GO:0007088),14,L3MBTL1,up,13,0.16835481386918288,0.04619076184763048,0.6366726654669066,0.7378152777777778,0.791889007470651,"IGF1, INSR, NUP62, DUSP1, CUL9, PHIP"
GO:BP,Internal Peptidyl-Lysine Acetylation (GO:0018393),16,TRRAP,up,15,0.21219525958100954,0.04819036192761448,0.6522695460907818,0.7378152777777778,0.7648523657061544,"EP400, PHF20L1, EPC1, RUVBL2, KAT2B, VPS72"
GO:CC,H4/H2A Histone Acetyltransferase Complex (GO:0043189),11,TRRAP,up,10,0.24280119985342025,0.05798840231953609,0.7216556688662268,0.7378152777777778,0.8048737104233369,"EP400, EPC1, RUVBL2, MSL3, VPS72, MORF4L1"
Reactome,Amyloid Fiber Formation R-HSA-977225,24,CALB1,up,23,0.17228232696652412,0.07038592281543692,0.7940411917616477,0.7378152777777778,0.7474208466737816,"TSPAN5, SORL1, SIAH1, UBE2L6, CST3, UBA52"
Reactome,Attenuation Phase R-HSA-3371568,13,DNAJB1,up,12,0.22668868054946265,0.08538292341531693,0.8608278344331134,0.7378152777777778,0.8694414799003913,"HSPH1, PTGES3, HSP90AA1, MRPL18, HSPA2, HSBP1"
GO:BP,Neuron Cell-Cell Adhesion (GO:0007158),11,CNTN4,down,10,0.1855264673009515,0.08598280343931214,0.8628274345130974,0.7378152777777778,0.7768587691213091,"ASTN2, NRXN3, NLGN3, NLGN1, CDK5R1, NRXN1"
GO:BP,Cellular Response To Amyloid-Beta (GO:1904646),16,"LGMN, CACNA1A",up,14,0.15687749069184065,0.08938212357528494,0.8780243951209759,0.7378152777777778,0.7150480256136607,"IGF1R, IGF1, GRIN2A, CACNB1, PRNP, APP"
WikiPathways,GPCRs Class A Rhodopsin Like WP455,13,SSTR1,down,12,0.137360787174354,0.09018196360727855,0.8804239152169566,0.7378152777777778,0.6663109213802917,"GPR12, AGTR1, DRD2, NTSR2, GPR173, GPR85"
GO:BP,Cellular Response To Peptide (GO:1901653),20,"LGMN, CACNA1A",up,18,0.14308705302472743,0.09798040391921616,0.9072185562887423,0.7378152777777778,0.7150480256136607,"IGF1R, IGF1, GRIN2A, CACNB1, ZFP36L1, PRNP"
GO:BP,Histone H4 Acetylation (GO:0043967),22,TRRAP,up,21,0.16390000833641916,0.10137972405518897,0.9194161167766447,0.7378152777777778,0.7365706154393454,"EP400, EPC1, RUVBL2, JADE1, ING4, PHF20"
GO:BP,Response To Amyloid-Beta (GO:1904645),17,"LGMN, CACNA1A",up,15,0.1398791945228974,0.10937812437512498,0.9386122775444911,0.7378152777777778,0.6977943792244753,"IGF1R, IGF1, GRIN2A, CACNB1, PRNP, APP"
GO:BP,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),15,"FUS, TRRAP",up,13,0.17568242377959764,0.11417716456708658,0.9504099180163967,0.7378152777777778,0.7956243329775881,"EP400, EPC1, RUVBL2, ARID2, WDR48, VPS72"
Reactome,HSF1-dependent Transactivation R-HSA-3371571,18,DNAJB1,up,17,0.16975887360818245,0.1295740851829634,0.9748050389922016,0.7378152777777778,0.7230522945570971,"HSPH1, PTGES3, CRYAB, HSP90AA1, MRPL18, HSPA2"
GO:BP,Histone Acetylation (GO:0016573),31,TRRAP,up,30,0.1208107397891581,0.14697060587882424,0.989002199560088,0.7378152777777778,0.6957488438278192,"EP400, PHF20L1, EPC1, RUVBL2, DR1, KAT2B"
GO:BP,Response To Unfolded Protein (GO:0006986),19,DNAJB1,up,18,0.14292040487958324,0.15356928614277143,0.9916016796640672,0.7378152777777778,0.7606723585912487,"HSPH1, DNAJA1, HSPA4, TM7SF3, HSP90AA1, HSPA2"
GO:MF,Calcium Channel Activity (GO:0005262),24,CACNA1A,up,23,0.11122128025264195,0.15976804639072187,0.9942011597680463,0.7378152777777778,0.6426538598363571,"CACNA2D3, CLU, SLC24A2, CACNB1, CUL5, ANXA6"
GO:MF,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",59,BCL11A,up,58,0.10988925416664831,0.17036592681463708,0.9968006398720256,0.7378152777777778,0.6471896122376378,"YY1, ZNF91, PEG3, MITF, JUN, CREM"
GO:BP,Associative Learning (GO:0008306),10,LGMN,down,9,0.13247671619885498,0.17196560687862428,0.9968006398720256,0.7378152777777778,0.6366061899679829,"ADCY3, SLC6A1, DRD2, NF1, BRSK1, CHRNB2"
Reactome,HSF1 Activation R-HSA-3371511,16,DNAJB1,up,15,0.1537509600321452,0.1785642871425715,0.9976004799040192,0.7378152777777778,0.8002490217004624,"HSPH1, PTGES3, HSP90AA1, MRPL18, HSBP1, DNAJB6"
Reactome,Chromatin Modifying Enzymes R-HSA-3247509,106,TRRAP,up,105,0.09865560694666957,0.1803639272145571,0.9978004399120176,0.7378152777777778,0.6225542511561721,"EP400, EPC1, KDELR2, NCOR1, RUVBL2, JMJD6"
GO:BP,Muscle Tissue Development (GO:0060537),11,CFLAR,up,10,0.10751516781747342,0.1841631673665267,0.998000399920016,0.7378152777777778,0.5489149768765564,"POGLUT1, CSRP1, MYL6B, MYL6, ZBTB18, IGSF8"
