subtype,lineage,list,markers,hits,genes,p,q_BH
CALB1_CALCR,CALB1,up,200,2,"CALB1, PLXNC1",0.13286398950757392,0.26572797901514783
CALB1_CALCR,CALB1,down,200,0,,1.0,1.0
CALB1_CRYM_CCDC68,CALB1,up,200,2,"CALB1, PLXNC1",0.13286398950757392,0.26572797901514783
CALB1_CRYM_CCDC68,CALB1,down,200,0,,1.0,1.0
CALB1_GEM,CALB1,up,200,4,"BCL11A, CALB1, CALB2, CFLAR",0.0032118306305605037,0.021412204203736695
CALB1_GEM,CALB1,down,200,0,,1.0,1.0
CALB1_PPP1R17,CALB1,up,200,2,"CALB1, PLXNC1",0.13286398950757392,0.26572797901514783
CALB1_PPP1R17,CALB1,down,200,0,,1.0,1.0
CALB1_RBP4,CALB1,up,200,2,"CALB1, PLXNC1",0.13286398950757392,0.26572797901514783
CALB1_RBP4,CALB1,down,200,0,,1.0,1.0
CALB1_TRHR,CALB1,up,200,4,"BCL11A, CALB1, CALB2, PLXNC1",0.0032118306305605037,0.021412204203736695
CALB1_TRHR,CALB1,down,200,0,,1.0,1.0
SOX6_AGTR1,SOX6,up,200,0,,1.0,1.0
SOX6_AGTR1,SOX6,down,200,3,"CPNE3, SH3GL3, SOX6",0.007692900528398504,0.03846450264199252
SOX6_DDT,SOX6,up,200,0,,1.0,1.0
SOX6_DDT,SOX6,down,200,0,,1.0,1.0
SOX6_GFRA2,SOX6,up,200,3,"BCL11A, CALB1, PLXNC1",0.02439590610234235,0.0975836244093694
SOX6_GFRA2,SOX6,down,200,2,"SH3GL3, SOX6",0.06574626882508107,0.21915422941693688
SOX6_PART1,SOX6,up,200,0,,1.0,1.0
SOX6_PART1,SOX6,down,200,4,"CPNE3, SH3GL3, SOX6, USP12",0.000614529370849921,0.01229058741699842
