cohort,gene,symbol,g,v,g_adj,v_adj
GSE7621,ENSG00000003402,CFLAR,0.055748871036608375,0.17367326984354822,-0.3467335574548269,0.1760155943084167
GSE7621,ENSG00000005700,IBTK,-0.5832493605936921,0.1804147074437701,-0.2569028997529754,0.17493109310914084
GSE7621,ENSG00000085719,CPNE3,0.1360790017938696,0.17398146100569542,0.2922247242162231,0.17531901689997606
GSE7621,ENSG00000089280,FUS,-1.3737190224115998,0.21135319016182075,-0.8846611133170852,0.1892636168194196
GSE7621,ENSG00000100600,LGMN,0.0455827929412698,0.17365266693135764,-0.1531114028369798,0.17407997314468526
GSE7621,ENSG00000101040,ZMYND8,0.8999613742025652,0.1898097206122425,0.44839791559260267,0.17763232492526693
GSE7621,ENSG00000104327,CALB1,-0.32035599471599774,0.17566367037812064,0.16538754301633332,0.1741581718988107
GSE7621,ENSG00000110693,SOX6,-0.35601866774519364,0.17614609694677236,0.5210630191792753,0.17904124451023554
GSE7621,ENSG00000114302,PRKAR2A,-0.29605616019139736,0.1753640961108566,-0.3318139514585456,0.1758131210787618
GSE7621,ENSG00000119866,BCL11A,0.14386957596384045,0.17402508020887142,0.08450088914994772,0.17375391911645374
GSE7621,ENSG00000132002,DNAJB1,0.899179833921194,0.18978159858572202,0.6195237884052923,0.18128730559911202
GSE7621,ENSG00000135298,ADGRB3,-0.34156869810919044,0.17594449462167125,0.2635122669222794,0.1749998854074815
GSE7621,ENSG00000136040,PLXNC1,0.20161126204173882,0.17442405313075235,0.47849901396577776,0.17819033723843553
GSE7621,ENSG00000136235,GPNMB,0.5386776073897426,0.17941458240517386,0.41444702779847387,0.17704643788813088
GSE7621,ENSG00000139874,SSTR1,-1.6374029791131397,0.2272328814312828,-0.32303987480606383,0.17569820632540545
GSE7621,ENSG00000140600,SH3GL3,-0.8606146361985939,0.18842426215189587,-0.36631409238559376,0.17629483139671673
GSE7621,ENSG00000141837,CACNA1A,-0.045431277457303576,0.17365239113053915,0.3186738001517969,0.17564217092917486
GSE7621,ENSG00000143847,PPFIA4,0.2955253633694208,0.17535781591900368,0.33822071989998087,0.17589897621850434
GSE7621,ENSG00000144619,CNTN4,-0.9142831111093732,0.1903293832563078,-0.07974023998495361,0.17373828122856827
GSE7621,ENSG00000145050,MANF,0.9514077918169934,0.19171464683771286,0.7718495458979975,0.18552614554117
GSE7621,ENSG00000152484,USP12,-1.1485460263715936,0.19999427060499064,-0.5233666406075099,0.17908936392112693
GSE7621,ENSG00000164151,ICE1,0.6301931757767245,0.18155397988702218,0.33983178394293,0.1759208239386678
GSE7621,ENSG00000164181,ELOVL7,0.05544084616149945,0.17367258485957315,-0.1872677435409533,0.1743124952665295
GSE7621,ENSG00000172137,CALB2,-0.04893568043249529,0.17365900512749893,0.3308354369988798,0.1758001528385959
GSE7621,ENSG00000173611,SCAI,0.22461457347590136,0.17462014524346633,0.31591741464244893,0.17560718736859848
GSE7621,ENSG00000173914,RBM4B,1.5915699712657778,0.22427301057981008,0.6272846999337485,0.18148083300653056
GSE7621,ENSG00000182919,C11orf54,-0.4388130751646348,0.17746224940981997,-0.34501459671712575,0.1759918125500687
GSE7621,ENSG00000185513,L3MBTL1,1.1339224055055772,0.19932671154526221,0.5983724454259051,0.18077210278001066
