cohort,model,n,control,PD,auc,ci_lo,ci_hi,perm_p,auc_neuron_markers,auc_neuron_removed,rho_with_neuron,loo_neuron_only,loo_neuron_plus_score,threshold_oob,accuracy@0.5,sensitivity@0.5,specificity@0.5,balanced_accuracy@0.5,accuracy@oob,sensitivity@oob,specificity@oob,balanced_accuracy@oob
GSE7621,frozen,25,9,16,0.9375,0.8194128787878788,1.0,0.00029997000299970003,0.8958333333333335,0.7916666666666667,-0.4338461538461538,0.8680555555555556,0.9027777777777778,0.43577699999999997,0.84,0.75,1.0,0.875,0.88,0.8125,1.0,0.90625
GSE7621,strict,25,9,16,0.9375,0.8141025641025641,1.0,0.00019998000199980003,0.8958333333333335,0.7916666666666667,-0.4338461538461538,0.8680555555555556,0.9027777777777778,0.43577699999999997,0.84,0.75,1.0,0.875,0.88,0.8125,1.0,0.90625
GSE7621,panel,25,9,16,0.9444444444444444,0.8399558823529412,1.0,9.999000099990002e-05,0.8958333333333335,0.7430555555555556,-0.4669230769230769,0.8680555555555556,0.8819444444444444,0.5358565,0.84,0.8125,0.8888888888888888,0.8506944444444444,0.88,0.8125,1.0,0.90625
GSE7621,panel_strict,25,9,16,0.9444444444444444,0.8400000000000001,1.0,0.00019998000199980003,0.8958333333333335,0.7430555555555556,-0.4669230769230769,0.8680555555555556,0.8819444444444444,0.5358565,0.84,0.8125,0.8888888888888888,0.8506944444444444,0.88,0.8125,1.0,0.90625
GSE20292,frozen,17,13,4,0.5480769230769231,0.2571428571428572,0.8269230769230769,0.40155984401559847,0.846153846153846,0.6153846153846154,0.2808093722164558,0.15384615384615385,0.15384615384615385,0.43577699999999997,0.5882352941176471,0.25,0.6923076923076923,0.47115384615384615,0.47058823529411764,0.5,0.46153846153846156,0.4807692307692308
GSE20292,strict,17,13,4,0.6923076923076923,0.3160714285714286,1.0,0.148985101489851,0.846153846153846,0.7692307692307692,-0.15686274509803924,0.15384615384615385,0.15384615384615385,0.48458100000000004,0.23529411764705882,1.0,0.0,0.5,0.23529411764705882,1.0,0.0,0.5
GSE20292,panel,17,13,4,0.6346153846153846,0.3571428571428571,0.8787878787878787,0.23207679232076792,0.846153846153846,0.8076923076923076,0.4368101447629261,0.15384615384615385,0.15384615384615385,0.5358565,0.6470588235294118,0.0,0.8461538461538461,0.4230769230769231,0.6470588235294118,0.0,0.8461538461538461,0.4230769230769231
GSE20292,panel_strict,17,13,4,0.3846153846153846,0.11666666666666667,0.6667857142857148,0.7583241675832417,0.846153846153846,0.6730769230769231,0.33742356688147385,0.15384615384615385,0.15384615384615385,0.6616845,0.6470588235294118,0.0,0.8461538461538461,0.4230769230769231,0.6470588235294118,0.0,0.8461538461538461,0.4230769230769231
GSE20163,frozen,15,9,6,0.6296296296296297,0.25,1.0,0.22417758224177584,1.0,0.5555555555555556,-0.3142857142857143,1.0,1.0,0.43577699999999997,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.4666666666666667,0.6666666666666666,0.3333333333333333,0.5
GSE20163,strict,15,9,6,0.38888888888888884,0.10714285714285716,0.72,0.772022797720228,1.0,0.5925925925925926,0.06071428571428571,1.0,1.0,0.48458100000000004,0.4,1.0,0.0,0.5,0.4,1.0,0.0,0.5
GSE20163,panel,15,9,6,0.42592592592592593,0.0,0.8333333333333334,0.6903309669033096,1.0,0.5555555555555556,0.18928571428571428,1.0,1.0,0.5358565,0.26666666666666666,0.5,0.1111111111111111,0.3055555555555556,0.26666666666666666,0.5,0.1111111111111111,0.3055555555555556
GSE20163,panel_strict,15,9,6,0.2037037037037037,0.0,0.5178571428571428,0.9761023897610239,1.0,0.37037037037037035,0.3,1.0,1.0,0.6616845,0.26666666666666666,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.5333333333333333,0.16666666666666666,0.7777777777777778,0.4722222222222222
GSE20164,frozen,11,5,6,0.7,0.29999999999999993,1.0,0.16198380161983802,1.0,0.4666666666666666,-0.38181818181818183,0.9666666666666668,0.9666666666666668,0.43577699999999997,0.5454545454545454,0.5,0.6,0.55,0.5454545454545454,0.5,0.6,0.55
GSE20164,strict,11,5,6,0.6,0.2077083333333334,1.0,0.3320667933206679,1.0,0.39999999999999997,-0.27272727272727276,0.9666666666666668,0.9666666666666668,0.48458100000000004,0.6363636363636364,1.0,0.2,0.6,0.6363636363636364,1.0,0.2,0.6
GSE20164,panel,11,5,6,0.7999999999999999,0.4666666666666666,1.0,0.06309369063093691,1.0,0.5666666666666667,-0.4272727272727273,0.9666666666666668,0.9666666666666668,0.5358565,0.7272727272727273,0.8333333333333334,0.6,0.7166666666666667,0.7272727272727273,0.8333333333333334,0.6,0.7166666666666667
GSE20164,panel_strict,11,5,6,0.8666666666666667,0.5402777777777783,1.0,0.024997500249975,1.0,0.5333333333333333,-0.5545454545454546,0.9666666666666668,0.9666666666666668,0.6616845,0.7272727272727273,1.0,0.4,0.7,0.6363636363636364,0.3333333333333333,1.0,0.6666666666666666
GSE8397,frozen,23,8,15,0.6958333333333333,0.46031746031746035,0.8968312324929972,0.06829317068293171,0.9666666666666667,0.625,-0.09043736376905939,0.9416666666666667,0.95,0.43577699999999997,0.6086956521739131,0.5333333333333333,0.75,0.6416666666666666,0.5652173913043478,0.5333333333333333,0.625,0.5791666666666666
GSE8397,strict,23,8,15,0.6958333333333333,0.45833333333333337,0.9015151515151515,0.06929307069293071,0.9666666666666667,0.625,-0.09043736376905939,0.9416666666666667,0.95,0.43577699999999997,0.6086956521739131,0.5333333333333333,0.75,0.6416666666666666,0.5652173913043478,0.5333333333333333,0.625,0.5791666666666666
GSE8397,panel,23,8,15,0.775,0.5461538461538462,0.9509803921568628,0.015598440155984402,0.9666666666666667,0.7083333333333334,-0.1373517786561265,0.9416666666666667,0.95,0.5358565,0.6956521739130435,0.7333333333333333,0.625,0.6791666666666667,0.6521739130434783,0.6666666666666666,0.625,0.6458333333333333
GSE8397,panel_strict,23,8,15,0.775,0.5454545454545454,0.9553571428571429,0.015598440155984402,0.9666666666666667,0.7083333333333334,-0.1373517786561265,0.9416666666666667,0.95,0.5358565,0.6956521739130435,0.7333333333333333,0.625,0.6791666666666667,0.6521739130434783,0.6666666666666666,0.625,0.6458333333333333
GSE49036,frozen,23,8,15,0.5166666666666666,0.275,0.7575946969696972,0.46225377462253775,0.8333333333333334,0.44166666666666665,-0.17588932806324112,0.7416666666666667,0.7250000000000001,0.43577699999999997,0.5652173913043478,0.4,0.875,0.6375,0.5217391304347826,0.5333333333333333,0.5,0.5166666666666666
GSE49036,strict,23,8,15,0.7541666666666667,0.5384324009324009,0.9384615384615385,0.025197480251974803,0.8333333333333334,0.6416666666666666,-0.5095132352234986,0.7416666666666667,0.7333333333333334,0.545168,0.5652173913043478,0.3333333333333333,1.0,0.6666666666666666,0.5217391304347826,0.26666666666666666,1.0,0.6333333333333333
GSE49036,panel,23,8,15,0.8250000000000001,0.6222222222222221,0.9736842105263157,0.0046995300469953,0.8333333333333334,0.7333333333333333,-0.4841897233201581,0.7416666666666667,0.7666666666666666,0.5358565,0.6956521739130435,0.6,0.875,0.7375,0.6086956521739131,0.4666666666666667,0.875,0.6708333333333334
GSE49036,panel_strict,23,8,15,0.8,0.588888888888889,0.9605327657378742,0.009799020097990201,0.8333333333333334,0.675,-0.8270750988142292,0.7416666666666667,0.7416666666666667,0.507536,0.7391304347826086,0.6666666666666666,0.875,0.7708333333333333,0.7391304347826086,0.6666666666666666,0.875,0.7708333333333333
GSE114517,frozen,29,12,17,0.6862745098039216,0.48093837535014,0.8736855396065923,0.0476952304769523,0.7303921568627451,0.6715686274509803,-0.022167487684729058,0.607843137254902,0.642156862745098,0.43577699999999997,0.6206896551724138,0.5294117647058824,0.75,0.6397058823529411,0.6206896551724138,0.7058823529411765,0.5,0.6029411764705883
GSE114517,strict,29,12,17,0.6862745098039216,0.47618475274725275,0.8701923076923076,0.04739526047395261,0.7303921568627451,0.6715686274509803,-0.022167487684729058,0.607843137254902,0.642156862745098,0.43577699999999997,0.6206896551724138,0.5294117647058824,0.75,0.6397058823529411,0.6206896551724138,0.7058823529411765,0.5,0.6029411764705883
GSE114517,panel,29,12,17,0.9019607843137255,0.7559523809523809,1.0,9.999000099990002e-05,0.7303921568627451,0.803921568627451,-0.4029556650246304,0.607843137254902,0.661764705882353,0.5358565,0.7931034482758621,0.9411764705882353,0.5833333333333334,0.7622549019607843,0.8620689655172413,0.8823529411764706,0.8333333333333334,0.857843137254902
GSE114517,panel_strict,29,12,17,0.9019607843137255,0.7598023300229182,1.0,9.999000099990002e-05,0.7303921568627451,0.803921568627451,-0.4029556650246304,0.607843137254902,0.661764705882353,0.5358565,0.7931034482758621,0.9411764705882353,0.5833333333333334,0.7622549019607843,0.8620689655172413,0.8823529411764706,0.8333333333333334,0.857843137254902
GSE168496,frozen,16,8,8,0.703125,0.39682539682539686,0.9523809523809524,0.09499050094990501,0.859375,0.625,-0.4061811254166295,0.765625,0.765625,0.43577699999999997,0.75,0.625,0.875,0.75,0.75,0.625,0.875,0.75
GSE168496,strict,16,8,8,0.734375,0.4363519813519813,1.0,0.0655934406559344,0.859375,0.6875,-0.4852941176470588,0.765625,0.765625,0.545168,0.5625,0.25,0.875,0.5625,0.5625,0.25,0.875,0.5625
GSE168496,panel,16,8,8,0.984375,0.90625,1.0,0.00019998000199980003,0.859375,0.921875,-0.3588235294117647,0.765625,0.8125,0.5358565,0.9375,1.0,0.875,0.9375,0.9375,1.0,0.875,0.9375
GSE168496,panel_strict,16,8,8,0.875,0.6507738095238095,1.0,0.0059994000599940004,0.859375,0.625,-0.7147058823529412,0.765625,0.78125,0.507536,0.6875,0.75,0.625,0.6875,0.6875,0.75,0.625,0.6875
