gene,symbol,metric,panel
ENSG00000136040,PLXNC1,1.2358371,True
ENSG00000173914,RBM4B,1.0344048,True
ENSG00000136235,GPNMB,0.9476243,True
ENSG00000089280,FUS,0.9326162,True
ENSG00000172137,CALB2,0.9320975,True
ENSG00000101040,ZMYND8,0.9158482,True
ENSG00000182718,ANXA2,0.85184157,False
ENSG00000143847,PPFIA4,0.85133326,True
ENSG00000196367,TRRAP,0.84510547,True
ENSG00000157445,CACNA2D3,0.835102,False
ENSG00000182985,CADM1,0.81936115,False
ENSG00000143013,LMO4,0.80534744,False
ENSG00000145730,PAM,0.7991545,False
ENSG00000159167,STC1,0.78841215,False
ENSG00000124243,BCAS4,0.77395964,False
ENSG00000168824,NSG1,0.7720416,False
ENSG00000183495,EP400,0.76794773,False
ENSG00000173821,RNF213,0.74560267,False
ENSG00000164151,ICE1,0.74343324,True
ENSG00000178538,CA8,0.7390909,False
ENSG00000119866,BCL11A,0.73187906,True
ENSG00000145833,DDX46,0.7153894,False
ENSG00000006118,TMEM132A,0.7146,False
ENSG00000163602,RYBP,0.7010852,False
ENSG00000114302,PRKAR2A,0.69650966,True
ENSG00000116741,RGS2,0.6931398,False
ENSG00000132002,DNAJB1,0.6848264,True
ENSG00000164096,C4orf3,0.6828112,False
ENSG00000173141,MRPL57,0.6806983,False
ENSG00000108830,RND2,0.6801292,False
ENSG00000092096,SLC22A17,0.6774729,False
ENSG00000166501,PRKCB,0.67394924,False
ENSG00000187257,RSBN1L,0.671736,False
ENSG00000108349,CASC3,0.6703622,False
ENSG00000120885,CLU,0.6674542,False
ENSG00000030582,GRN,0.6663462,False
ENSG00000127328,RAB3IP,0.66185546,False
ENSG00000130844,ZNF331,0.66135514,False
ENSG00000163389,POGLUT1,0.6596601,False
ENSG00000151445,VIPAS39,0.657497,False
ENSG00000052841,TTC17,0.65069205,False
ENSG00000197448,GSTK1,0.6444232,True
ENSG00000204175,GPRIN2,0.64439684,False
ENSG00000165186,PTCHD1,0.64315987,False
ENSG00000178381,ZFAND2A,0.6431528,False
ENSG00000100811,YY1,0.64211905,False
ENSG00000151929,BAG3,0.64145184,False
ENSG00000170558,CDH2,0.6380653,False
ENSG00000102466,FGF14,0.6227377,False
ENSG00000168843,FSTL5,0.62010556,False
ENSG00000065883,CDK13,0.61866045,False
ENSG00000114251,WNT5A,0.61864275,False
ENSG00000115977,AAK1,0.61843157,False
ENSG00000135334,AKIRIN2,0.6183979,False
ENSG00000160299,PCNT,0.6152359,False
ENSG00000143321,HDGF,0.6125961,False
ENSG00000167081,PBX3,0.61215436,False
ENSG00000120694,HSPH1,0.6079311,False
ENSG00000104327,CALB1,0.6073612,True
ENSG00000160305,DIP2A,0.60601646,False
ENSG00000171724,VAT1L,0.6044101,False
ENSG00000203875,SNHG5,0.6034403,False
ENSG00000188385,JAKMIP3,0.6028516,False
ENSG00000105939,ZC3HAV1,0.60185313,False
ENSG00000164902,PHAX,0.6013237,False
ENSG00000125851,PCSK2,0.5963748,False
ENSG00000105290,APLP1,0.595203,False
ENSG00000182287,AP1S2,0.5935875,False
ENSG00000106484,MEST,0.592456,False
ENSG00000110002,VWA5A,0.5906579,False
ENSG00000188803,SHISA6,0.58814937,False
ENSG00000100591,AHSA1,0.5879667,False
ENSG00000181234,TMEM132C,0.5878961,False
ENSG00000147481,SNTG1,0.5878627,False
ENSG00000245532,NEAT1,0.5865261,False
ENSG00000091972,CD200,0.58590186,False
ENSG00000129292,PHF20L1,0.5840243,False
ENSG00000120616,EPC1,0.58183104,False
ENSG00000176720,BOK,0.57996964,False
ENSG00000110172,CHORDC1,0.5789506,False
ENSG00000115524,SF3B1,0.5788218,False
ENSG00000145990,GFOD1,0.57719606,False
ENSG00000165934,CPSF2,0.57605183,False
ENSG00000167232,ZNF91,0.57552963,False
ENSG00000003402,CFLAR,0.5732109,True
ENSG00000198522,GPN1,0.57209206,False
ENSG00000153707,PTPRD,0.5710464,False
ENSG00000178567,EPM2AIP1,0.56804585,False
ENSG00000155660,PDIA4,0.56686956,False
ENSG00000122034,GTF3A,0.5648589,False
ENSG00000188559,RALGAPA2,0.56394696,False
ENSG00000198300,PEG3,0.5629761,False
ENSG00000060339,CCAR1,0.56007266,False
ENSG00000022567,SLC45A4,0.5595893,False
ENSG00000077782,FGFR1,0.5594791,False
ENSG00000145050,MANF,0.5571767,True
ENSG00000100596,SPTLC2,0.5548052,False
ENSG00000106078,COBL,0.55184406,False
ENSG00000136240,KDELR2,0.54967725,False
ENSG00000113269,RNF130,0.5482576,False
ENSG00000163320,CGGBP1,0.5481427,False
ENSG00000171634,BPTF,0.54789776,False
ENSG00000174607,UGT8,0.54314727,False
