source,set,size,panel_genes,n_panel,direction,g,p,q_BH,auc
Reactome,Activation Of HOX Genes During Differentiation,30,,0,up in PD,1.0864106,0.0004997501249375312,0.258686446250559,0.7473309608540926
GO BP,Central Nervous System Development,129,"CNTN4, SH3GL3, SOX6",3,down in PD,-0.9942929,0.0004997501249375312,0.258686446250559,0.7366548042704626
GO BP,Internal Peptidyl-Lysine Acetylation,16,TRRAP,1,up in PD,0.9512371,0.0004997501249375312,0.258686446250559,0.701067615658363
GO BP,Negative Regulation Of Response To Stimulus,15,,0,up in PD,0.88761866,0.0009995002498750624,0.258686446250559,0.7615658362989324
GO BP,Defense Response To Bacterium,17,,0,up in PD,0.9843286,0.0009995002498750624,0.258686446250559,0.6761565836298933
GO BP,Regulation Of Synapse Assembly,25,,0,down in PD,-0.8755869,0.0009995002498750624,0.258686446250559,0.6868327402135231
GO BP,Vesicle Cytoskeletal Trafficking,18,,0,down in PD,-1.06668,0.0014992503748125937,0.258686446250559,0.6832740213523132
KEGG,Circadian rhythm,16,,0,down in PD,-0.8278959,0.0014992503748125937,0.258686446250559,0.7259786476868327
Reactome,Regulation Of HSF1-mediated Heat Shock Response,42,DNAJB1,1,up in PD,0.80456465,0.001999000499750125,0.258686446250559,0.7117437722419929
GO BP,SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process,20,,0,down in PD,-0.8447167,0.001999000499750125,0.258686446250559,0.7295373665480427
GO BP,Brain Development,80,"CNTN4, SOX6",2,down in PD,-0.8939062,0.001999000499750125,0.258686446250559,0.7046263345195729
Reactome,Amyloid Fiber Formation,24,CALB1,1,up in PD,0.852347,0.001999000499750125,0.258686446250559,0.697508896797153
Hallmark,Myogenesis,59,PPFIA4,1,up in PD,0.83754426,0.001999000499750125,0.258686446250559,0.701067615658363
GO BP,Regulation Of Programmed Cell Death,76,TRRAP,1,up in PD,0.8212926,0.0024987506246876563,0.258686446250559,0.7295373665480427
