gene,symbol,boruta_rank,confirmed
ENSG00000003402,CFLAR,1,True
ENSG00000005700,IBTK,1,True
ENSG00000085719,CPNE3,1,True
ENSG00000089280,FUS,1,True
ENSG00000100600,LGMN,1,True
ENSG00000101040,ZMYND8,1,True
ENSG00000104327,CALB1,1,True
ENSG00000110693,SOX6,1,True
ENSG00000114302,PRKAR2A,1,True
ENSG00000119866,BCL11A,1,True
ENSG00000132002,DNAJB1,1,True
ENSG00000135298,ADGRB3,1,True
ENSG00000136040,PLXNC1,1,True
ENSG00000136235,GPNMB,1,True
ENSG00000139874,SSTR1,1,True
ENSG00000140600,SH3GL3,1,True
ENSG00000141837,CACNA1A,1,True
ENSG00000143847,PPFIA4,1,True
ENSG00000144619,CNTN4,1,True
ENSG00000145050,MANF,1,True
ENSG00000152484,USP12,1,True
ENSG00000164151,ICE1,1,True
ENSG00000164181,ELOVL7,1,True
ENSG00000172137,CALB2,1,True
ENSG00000173611,SCAI,1,True
ENSG00000173914,RBM4B,1,True
ENSG00000182919,C11orf54,1,True
ENSG00000185513,L3MBTL1,1,True
ENSG00000196367,TRRAP,1,True
ENSG00000197448,GSTK1,1,True
