gene,symbol,mean_abs_shap,mean_shap,shap_std,shap_expression_spearman,boruta_fold_frequency,core_model_rank,direction_sign,signed_importance,direction,shap_rank
ENSG00000173914,RBM4B,0.03665583284911959,0.00048049396043006476,0.03993218025510571,0.8755760368663594,1.0,447,1,0.03665583284911959,Higher expression raises PD probability,1
ENSG00000136040,PLXNC1,0.033512391723707825,0.0026425346813131563,0.03644699114464872,0.9103302611367129,0.96,799,1,0.033512391723707825,Higher expression raises PD probability,2
ENSG00000136235,GPNMB,0.029925255475548702,0.001605690568594658,0.033996233496751765,0.9381720430107525,0.92,117,1,0.029925255475548702,Higher expression raises PD probability,3
ENSG00000173611,SCAI,0.02835046246370872,0.002152799005071111,0.030855390899875216,-0.8660234254992321,0.72,277,-1,-0.02835046246370872,Higher expression lowers PD probability,4
ENSG00000164151,ICE1,0.02683096354867432,0.00023391927977486963,0.031986044840147665,0.679915514592934,0.8,977,1,0.02683096354867432,Higher expression raises PD probability,5
ENSG00000101040,ZMYND8,0.02365011581957335,0.0019826433468591136,0.027580044904924786,0.7940188172043011,0.84,121,1,0.02365011581957335,Higher expression raises PD probability,6
ENSG00000144619,CNTN4,0.020242632033402996,0.001309956705185574,0.024576687486488863,-0.8286290322580646,0.72,83,-1,-0.020242632033402996,Higher expression lowers PD probability,7
ENSG00000003402,CFLAR,0.01944573919408334,0.0009115018209542243,0.02062862371771966,0.7742415514592934,0.56,19,1,0.01944573919408334,Higher expression raises PD probability,8
ENSG00000143847,PPFIA4,0.01811551235480311,0.0002805431584581645,0.020380478047643688,0.8651113671274963,0.76,873,1,0.01811551235480311,Higher expression raises PD probability,9
ENSG00000104327,CALB1,0.01776148879876006,0.0016136127692911973,0.019322100678082956,0.8506624423963134,0.52,1686,1,0.01776148879876006,Higher expression raises PD probability,10
ENSG00000132002,DNAJB1,0.01706101341875426,0.0026181122333988984,0.02167544976291495,0.8278609831029186,0.56,1,1,0.01706101341875426,Higher expression raises PD probability,11
ENSG00000172137,CALB2,0.01702344106955073,-4.214467834118737e-05,0.01883104758934823,0.8730318740399386,0.52,344,1,0.01702344106955073,Higher expression raises PD probability,12
ENSG00000140600,SH3GL3,0.016733958478180152,-0.0005987976503714416,0.0217698715626042,-0.7716493855606759,0.52,722,-1,-0.016733958478180152,Higher expression lowers PD probability,13
ENSG00000197448,GSTK1,0.016424973297570707,0.0013454180744776798,0.017953763758843173,0.8911770353302612,0.36,51,1,0.016424973297570707,Higher expression raises PD probability,14
ENSG00000135298,ADGRB3,0.016217363154689364,0.0004407670505016439,0.01810122901947262,-0.8396697388632873,0.36,92,-1,-0.016217363154689364,Higher expression lowers PD probability,15
ENSG00000185513,L3MBTL1,0.01593467097180312,0.0007077651761288269,0.020754294156542463,0.6265360983102919,0.16,1045,1,0.01593467097180312,Higher expression raises PD probability,16
ENSG00000182919,C11orf54,0.01587264236012403,-0.0004474763419323635,0.01870046608727852,-0.9045218894009218,0.4,174,-1,-0.01587264236012403,Higher expression lowers PD probability,17
ENSG00000005700,IBTK,0.015334465183881974,0.000291808849931977,0.01934036030618636,-0.9234701838004638,0.6,606,-1,-0.015334465183881974,Higher expression lowers PD probability,18
ENSG00000085719,CPNE3,0.013975375079808767,0.0008237795615647784,0.016911582862571647,-0.6656586021505376,0.4,461,-1,-0.013975375079808767,Higher expression lowers PD probability,19
ENSG00000089280,FUS,0.013804463569827348,0.0008213744296575376,0.015628949225780675,0.9086021505376345,0.36,556,1,0.013804463569827348,Higher expression raises PD probability,20
ENSG00000164181,ELOVL7,0.013735632671756896,0.0001759254504932081,0.01732725084762297,-0.891705069124424,0.4,876,-1,-0.013735632671756896,Higher expression lowers PD probability,21
ENSG00000114302,PRKAR2A,0.013724461345554608,-0.00045236690428373356,0.017421775356613402,0.774682875954354,0.32,407,1,0.013724461345554608,Higher expression raises PD probability,22
ENSG00000152484,USP12,0.013655817495284012,0.0010440022483688312,0.01572421771853898,-0.941820276497696,0.48,502,-1,-0.013655817495284012,Higher expression lowers PD probability,23
ENSG00000110693,SOX6,0.012708931336762331,0.0009861670431245274,0.01451268472181533,-0.9331797235023042,0.36,185,-1,-0.012708931336762331,Higher expression lowers PD probability,24
ENSG00000145050,MANF,0.012573489720975902,0.0007099268119106946,0.013956292614040003,0.7961309523809524,0.16,861,1,0.012573489720975902,Higher expression raises PD probability,25
ENSG00000100600,LGMN,0.012321979100104526,0.0007594965206716636,0.013440706495032756,-0.693836405529954,0.2,2483,-1,-0.012321979100104526,Higher expression lowers PD probability,26
ENSG00000139874,SSTR1,0.012224819142459454,-0.00016278918922313544,0.014346959350454346,-0.9418682795698925,0.48,204,-1,-0.012224819142459454,Higher expression lowers PD probability,27
ENSG00000119866,BCL11A,0.012003064636660876,0.0009569591349649066,0.014046352552043409,0.9455165130568357,0.4,1048,1,0.012003064636660876,Higher expression raises PD probability,28
ENSG00000141837,CACNA1A,0.011998198939953682,-0.0004190572129555477,0.014275035276339951,0.49908794162826425,0.24,2985,1,0.011998198939953682,Higher expression raises PD probability,29
ENSG00000196367,TRRAP,0.00988851544528239,0.0009609487069467148,0.011522006208855582,0.9343317972350231,0.32,865,1,0.00988851544528239,Higher expression raises PD probability,30
