gene,symbol
ENSG00000000003,TSPAN6
ENSG00000000419,DPM1
ENSG00000001036,FUCA2
ENSG00000001084,GCLC
ENSG00000001460,STPG1
ENSG00000001461,NIPAL3
ENSG00000001497,LAS1L
ENSG00000001561,ENPP4
ENSG00000001629,ANKIB1
ENSG00000002549,LAP3
ENSG00000002746,HECW1
ENSG00000002834,LASP1
ENSG00000002919,SNX11
ENSG00000003096,KLHL13
ENSG00000003147,ICA1
ENSG00000003393,ALS2
ENSG00000003402,CFLAR
ENSG00000003509,NDUFAF7
ENSG00000003756,RBM5
ENSG00000004142,POLDIP2
ENSG00000004455,AK2
ENSG00000004534,RBM6
ENSG00000004660,CAMKK1
ENSG00000004766,VPS50
ENSG00000004779,NDUFAB1
ENSG00000004799,PDK4
ENSG00000004864,SLC25A13
ENSG00000004897,CDC27
ENSG00000004961,HCCS
ENSG00000005007,UPF1
ENSG00000005020,SKAP2
ENSG00000005022,SLC25A5
ENSG00000005100,DHX33
ENSG00000005108,THSD7A
ENSG00000005175,RPAP3
ENSG00000005194,CIAPIN1
ENSG00000005249,PRKAR2B
ENSG00000005302,MSL3
ENSG00000005339,CREBBP
ENSG00000005448,WDR54
ENSG00000005483,KMT2E
ENSG00000005486,RHBDD2
ENSG00000005700,IBTK
ENSG00000005801,ZNF195
ENSG00000005810,MYCBP2
ENSG00000005812,FBXL3
ENSG00000005893,LAMP2
ENSG00000005981,ASB4
ENSG00000006007,GDE1
ENSG00000006116,CACNG3
ENSG00000006118,TMEM132A
ENSG00000006125,AP2B1
ENSG00000006128,TAC1
ENSG00000006210,CX3CL1
ENSG00000006282,SPATA20
ENSG00000006283,CACNA1G
ENSG00000006451,RALA
ENSG00000006530,AGK
ENSG00000006625,GGCT
ENSG00000006704,GTF2IRD1
ENSG00000006712,PAF1
ENSG00000006715,VPS41
ENSG00000006740,ARHGAP44
ENSG00000006744,ELAC2
ENSG00000006831,ADIPOR2
ENSG00000007047,MARK4
ENSG00000007168,PAFAH1B1
ENSG00000007392,LUC7L
ENSG00000007402,CACNA2D2
ENSG00000007944,MYLIP
ENSG00000008018,PSMB1
ENSG00000008056,SYN1
ENSG00000008083,JARID2
ENSG00000008256,CYTH3
ENSG00000008277,ADAM22
ENSG00000008282,SYPL1
ENSG00000008283,CYB561
ENSG00000008294,SPAG9
ENSG00000008300,CELSR3
ENSG00000008324,SS18L2
ENSG00000008394,MGST1
ENSG00000008513,ST3GAL1
ENSG00000008735,MAPK8IP2
ENSG00000008869,HEATR5B
ENSG00000008952,SEC62
ENSG00000009307,CSDE1
ENSG00000009335,UBE3C
ENSG00000009413,REV3L
ENSG00000009694,TENM1
ENSG00000009844,VTA1
ENSG00000009954,BAZ1B
ENSG00000010017,RANBP9
ENSG00000010244,ZNF207
ENSG00000010270,STARD3NL
ENSG00000010295,IFFO1
ENSG00000010322,NISCH
ENSG00000010810,FYN
ENSG00000010818,HIVEP2
ENSG00000011009,LYPLA2
ENSG00000011021,CLCN6
ENSG00000011114,BTBD7
ENSG00000011275,RNF216
ENSG00000011295,TTC19
ENSG00000011376,LARS2
ENSG00000011405,PIK3C2A
ENSG00000011426,ANLN
ENSG00000011451,WIZ
ENSG00000011485,PPP5C
ENSG00000011523,CEP68
ENSG00000011566,MAP4K3
ENSG00000012061,ERCC1
ENSG00000012174,MBTPS2
ENSG00000012232,EXTL3
ENSG00000012660,ELOVL5
ENSG00000012822,CALCOCO1
ENSG00000012963,UBR7
ENSG00000012983,MAP4K5
ENSG00000013016,EHD3
ENSG00000013275,PSMC4
ENSG00000013288,MAN2B2
ENSG00000013293,SLC7A14
ENSG00000013374,NUB1
ENSG00000013375,PGM3
ENSG00000013392,RWDD2A
ENSG00000013441,CLK1
ENSG00000013523,ANGEL1
ENSG00000013561,RNF14
ENSG00000013588,GPRC5A
ENSG00000014123,UFL1
ENSG00000014216,CAPN1
ENSG00000014641,MDH1
ENSG00000014824,SLC30A9
ENSG00000014919,COX15
ENSG00000015153,YAF2
ENSG00000015171,ZMYND11
ENSG00000015532,XYLT2
ENSG00000015592,STMN4
ENSG00000015676,NUDCD3
ENSG00000016864,GLT8D1
ENSG00000017260,ATP2C1
ENSG00000017427,IGF1
ENSG00000017797,RALBP1
ENSG00000018189,RUFY3
ENSG00000018236,CNTN1
ENSG00000018510,AGPS
ENSG00000018625,ATP1A2
ENSG00000019505,SYT13
ENSG00000019582,CD74
ENSG00000019995,ZRANB1
ENSG00000020129,NCDN
ENSG00000020426,MNAT1
ENSG00000020577,SAMD4A
ENSG00000021300,PLEKHB1
ENSG00000021355,SERPINB1
ENSG00000021574,SPAST
ENSG00000021645,NRXN3
ENSG00000021762,OSBPL5
ENSG00000021776,AQR
ENSG00000022267,FHL1
ENSG00000022355,GABRA1
ENSG00000022567,SLC45A4
ENSG00000022840,RNF10
ENSG00000023041,ZDHHC6
ENSG00000023171,GRAMD1B
ENSG00000023191,RNH1
ENSG00000023228,NDUFS1
ENSG00000023287,RB1CC1
ENSG00000023318,ERP44
ENSG00000023516,AKAP11
ENSG00000023572,GLRX2
ENSG00000023734,STRAP
ENSG00000023909,GCLM
ENSG00000024048,UBR2
ENSG00000024862,CCDC28A
ENSG00000025039,RRAGD
ENSG00000025156,HSF2
ENSG00000025293,PHF20
ENSG00000025770,NCAPH2
ENSG00000025772,TOMM34
ENSG00000025796,SEC63
ENSG00000025800,KPNA6
ENSG00000026652,AGPAT4
ENSG00000027697,IFNGR1
ENSG00000027847,B4GALT7
ENSG00000028203,VEZT
ENSG00000028310,BRD9
ENSG00000028528,SNX1
ENSG00000028839,TBPL1
ENSG00000029363,BCLAF1
ENSG00000029364,SLC39A9
ENSG00000029534,ANK1
ENSG00000029725,RABEP1
ENSG00000030582,GRN
ENSG00000031003,FAM13B
ENSG00000031823,RANBP3
ENSG00000032219,ARID4A
ENSG00000032444,PNPLA6
ENSG00000033122,LRRC7
ENSG00000033170,FUT8
ENSG00000033178,UBA6
ENSG00000033327,GAB2
ENSG00000033627,ATP6V0A1
ENSG00000033867,SLC4A7
ENSG00000034053,APBA2
ENSG00000034152,MAP2K3
ENSG00000034510,TMSB10
ENSG00000034677,RNF19A
ENSG00000034713,GABARAPL2
ENSG00000035115,SH3YL1
ENSG00000035403,VCL
ENSG00000035681,NSMAF
ENSG00000035687,ADSS2
ENSG00000035862,TIMP2
ENSG00000035928,RFC1
ENSG00000036054,TBC1D23
ENSG00000036257,CUL3
ENSG00000036530,CYP46A1
ENSG00000036549,ZZZ3
ENSG00000036565,SLC18A1
ENSG00000037042,TUBG2
ENSG00000037474,NSUN2
ENSG00000037637,FBXO42
ENSG00000038219,BOD1L1
ENSG00000038274,MAT2B
ENSG00000038382,TRIO
ENSG00000039319,ZFYVE16
ENSG00000040199,PHLPP2
ENSG00000040341,STAU2
ENSG00000040731,CDH10
ENSG00000040933,INPP4A
ENSG00000041353,RAB27B
ENSG00000041357,PSMA4
ENSG00000041802,LSG1
ENSG00000042317,SPATA7
ENSG00000042753,AP2S1
ENSG00000043093,DCUN1D1
ENSG00000043143,JADE2
ENSG00000044115,CTNNA1
ENSG00000044574,HSPA5
ENSG00000046653,GPM6B
ENSG00000047056,WDR37
ENSG00000047188,YTHDC2
ENSG00000047249,ATP6V1H
ENSG00000047315,POLR2B
ENSG00000047410,TPR
ENSG00000047579,DTNBP1
ENSG00000047597,XK
ENSG00000047648,ARHGAP6
ENSG00000047849,MAP4
ENSG00000047932,GOPC
ENSG00000048052,HDAC9
ENSG00000048392,RRM2B
ENSG00000048471,SNX29
ENSG00000048540,LMO3
ENSG00000048544,MRPS10
ENSG00000048649,RSF1
ENSG00000048707,VPS13D
ENSG00000048740,CELF2
ENSG00000048828,FAM120A
ENSG00000048991,R3HDM1
ENSG00000049245,VAMP3
ENSG00000049618,ARID1B
ENSG00000049656,CLPTM1L
ENSG00000049759,NEDD4L
ENSG00000049769,PPP1R3F
ENSG00000049860,HEXB
ENSG00000050130,JKAMP
ENSG00000050165,DKK3
ENSG00000050393,MCUR1
ENSG00000050426,LETMD1
ENSG00000050438,SLC4A8
ENSG00000050748,MAPK9
ENSG00000050820,BCAR1
ENSG00000051108,HERPUD1
ENSG00000051620,HEBP2
ENSG00000051825,MPHOSPH9
ENSG00000052126,PLEKHA5
ENSG00000052723,SIKE1
ENSG00000052749,RRP12
ENSG00000052795,FNIP2
ENSG00000052802,MSMO1
ENSG00000052841,TTC17
ENSG00000053254,FOXN3
ENSG00000053372,MRTO4
ENSG00000053501,USE1
ENSG00000053524,MCF2L2
ENSG00000053747,LAMA3
ENSG00000053770,AP5M1
ENSG00000053900,ANAPC4
ENSG00000054116,TRAPPC3
ENSG00000054118,THRAP3
ENSG00000054267,ARID4B
ENSG00000054282,SDCCAG8
ENSG00000054356,PTPRN
ENSG00000054523,KIF1B
ENSG00000054611,TBC1D22A
ENSG00000054690,PLEKHH1
ENSG00000054793,ATP9A
ENSG00000054965,FAM168A
ENSG00000054983,GALC
ENSG00000055044,NOP58
ENSG00000055118,KCNH2
ENSG00000055130,CUL1
ENSG00000055147,FAM114A2
ENSG00000055163,CYFIP2
ENSG00000055208,TAB2
ENSG00000055211,GINM1
ENSG00000055332,EIF2AK2
ENSG00000055483,USP36
ENSG00000055609,KMT2C
ENSG00000055917,PUM2
ENSG00000055950,MRPL43
ENSG00000056097,ZFR
ENSG00000056586,RC3H2
ENSG00000056998,GYG2
ENSG00000057019,DCBLD2
ENSG00000057252,SOAT1
ENSG00000057608,GDI2
ENSG00000057663,ATG5
ENSG00000057704,TMCC3
ENSG00000057757,PITHD1
ENSG00000057935,MTA3
ENSG00000058091,CDK14
ENSG00000058272,PPP1R12A
ENSG00000058335,RASGRF1
ENSG00000058404,CAMK2B
ENSG00000058600,POLR3E
ENSG00000058729,RIOK2
ENSG00000058799,YIPF1
ENSG00000059122,FLYWCH1
ENSG00000059145,UNKL
ENSG00000059573,ALDH18A1
ENSG00000059691,GATB
ENSG00000059728,MXD1
ENSG00000059804,SLC2A3
ENSG00000059915,PSD
ENSG00000060237,WNK1
ENSG00000060339,CCAR1
ENSG00000060491,OGFR
ENSG00000060656,PTPRU
ENSG00000060709,RIMBP2
ENSG00000060718,COL11A1
ENSG00000060762,MPC1
ENSG00000060982,BCAT1
ENSG00000061676,NCKAP1
ENSG00000061794,MRPS35
ENSG00000061936,SFSWAP
ENSG00000061938,TNK2
ENSG00000061987,MON2
ENSG00000062194,GPBP1
ENSG00000062598,ELMO2
ENSG00000062650,WAPL
ENSG00000062716,VMP1
ENSG00000062725,APPBP2
ENSG00000063046,EIF4B
