model,cv_auc,cv_accuracy,cv_bal_accuracy,cv_sensitivity,cv_specificity,cv_f1,cv_mcc,cv_brier,cv_accuracy_oob_cut,cv_auc_sd,cv_accuracy_sd,lodo_auc,lodo_accuracy,lodo_auc_GSE169755,lodo_auc_GSE182622,lodo_auc_GSE20141,lodo_auc_GSE24378,variant
core classifier,0.7253535353535352,0.692063492063492,0.6984848484848485,0.5636363636363636,0.8333333333333334,0.6566446719435122,0.41010202931409767,0.21531112380952377,0.6603174603174603,0.032448070164845064,0.03654242677213124,0.6777777777777777,0.5396825396825397,1.0,0.7,0.55,0.5972222222222222,original
30-gene forest (genes fixed on all donors; optimistic),0.962929292929293,0.8825396825396826,0.8796969696969696,0.9393939393939394,0.82,0.8934916575325783,0.7680487138206514,0.11701767936507937,0.8857142857142858,0.007538629558402165,0.014197256999998657,0.9681818181818183,0.8888888888888888,1.0,0.9750000000000001,1.0,0.9583333333333334,original
core classifier,0.6426262626262627,0.6063492063492063,0.6124242424242425,0.48484848484848486,0.74,0.5624118987821347,0.23195317281013117,0.2409665968253968,0.5968253968253968,0.027156974709640673,0.03789630598829625,0.5217171717171717,0.4603174603174603,0.7777777777777778,0.625,0.35000000000000003,0.4305555555555555,composition (50 markers)
30-gene forest (genes fixed on all donors; optimistic),0.8831313131313131,0.7904761904761906,0.7890909090909092,0.8181818181818181,0.76,0.8034255599472993,0.5803268153481691,0.16228516507936505,0.7746031746031745,0.013535918878589896,0.013280317881493255,0.8787878787878788,0.7936507936507936,0.6666666666666667,0.825,0.975,0.8750000000000001,composition (50 markers)
core classifier,0.6003030303030303,0.5936507936507935,0.5957575757575757,0.5515151515151515,0.6399999999999999,0.5861448693013017,0.19263408517659886,0.24649802857142852,0.5428571428571428,0.06953263454382733,0.06696832733247297,0.5388888888888889,0.5238095238095238,0.3333333333333333,0.575,0.5625,0.5,composition (25 markers)
30-gene forest (genes fixed on all donors; optimistic),0.8617171717171717,0.7682539682539682,0.7657575757575757,0.8181818181818181,0.7133333333333333,0.7871055657915889,0.5361916418980183,0.1688644349206349,0.7746031746031745,0.02302941695974001,0.018098022620621226,0.8747474747474748,0.8095238095238095,0.7777777777777778,0.8583333333333332,0.95,0.8680555555555556,composition (25 markers)
core classifier,0.6525252525252525,0.6,0.6030303030303029,0.5393939393939393,0.6666666666666666,0.5818174150680064,0.20904199925535014,0.23239999365079367,0.5936507936507935,0.03940850546557563,0.03619604524124246,0.5515151515151515,0.5396825396825397,0.7777777777777778,0.7458333333333333,0.5750000000000001,0.2569444444444445,composition (100 markers)
30-gene forest (genes fixed on all donors; optimistic),0.8724242424242424,0.8158730158730159,0.8136363636363637,0.8606060606060606,0.7666666666666666,0.8303043787274806,0.6319210281105992,0.16130899682539684,0.7968253968253968,0.011205977022485195,0.014197256999998657,0.8797979797979799,0.7936507936507936,0.6666666666666667,0.8583333333333334,1.0,0.8750000000000001,composition (100 markers)
core classifier,0.637979797979798,0.5619047619047619,0.5654545454545454,0.4909090909090909,0.64,0.5400614267764903,0.13322297289115087,0.23722042857142855,0.5619047619047619,0.040566906596700564,0.045729715209168055,0.5297979797979798,0.5238095238095238,0.4444444444444445,0.625,0.6,0.3472222222222222,composition (200 markers)
30-gene forest (genes fixed on all donors; optimistic),0.8661616161616161,0.7968253968253968,0.7951515151515152,0.8303030303030303,0.76,0.8107303056907973,0.5929881558325418,0.16473489206349207,0.7650793650793651,0.01616161616161616,0.013280317881493269,0.8868686868686869,0.7777777777777778,0.6666666666666667,0.8833333333333333,1.0,0.888888888888889,composition (200 markers)
core classifier,0.6959595959595959,0.653968253968254,0.6557575757575758,0.6181818181818182,0.6933333333333332,0.651147551006269,0.3127018100010564,0.21876883174603176,0.6,0.026465803043583643,0.03441187839472827,0.6196969696969697,0.5555555555555556,0.6666666666666667,0.8166666666666667,0.5375,0.5486111111111112,SOX6_AGTR1 markers only
30-gene forest (genes fixed on all donors; optimistic),0.9003030303030304,0.838095238095238,0.8369696969696969,0.8606060606060606,0.8133333333333335,0.8479452885423034,0.676234887334185,0.14736966349206349,0.8190476190476191,0.017103250314166915,0.03441187839472825,0.9161616161616162,0.8095238095238095,0.6666666666666666,0.9666666666666668,0.95,0.888888888888889,SOX6_AGTR1 markers only
core classifier,0.6212121212121212,0.5682539682539682,0.5669696969696969,0.593939393939394,0.54,0.5895702618615504,0.1355837326516512,0.24285790476190475,0.5460317460317461,0.052895451437503294,0.0796819072889596,0.4833333333333333,0.4603174603174603,0.5555555555555556,0.5583333333333333,0.4,0.4652777777777778,composition + dopamine purity
30-gene forest (genes fixed on all donors; optimistic),0.8563636363636362,0.7555555555555555,0.7527272727272727,0.8121212121212121,0.6933333333333334,0.7766778775804236,0.5129386440206705,0.17626407936507937,0.7492063492063492,0.01173413957772048,0.018098022620621244,0.9186868686868687,0.8253968253968254,0.888888888888889,0.9,1.0,0.8888888888888888,composition + dopamine purity
