variant,model,oof_auc,ci_lo,ci_hi,shuffle_p
original,core,0.7646464646464646,0.6372112031386225,0.877780701754386,0.00019998000199980003
original,panel,0.9686868686868687,0.9279727261274879,0.9959183673469387,9.999000099990002e-05
composition (50 markers),core,0.6737373737373737,0.5303015029325513,0.8014407035240368,0.009299070092990702
composition (50 markers),panel,0.8929292929292929,0.8061224489795918,0.9576612903225807,9.999000099990002e-05
composition (25 markers),core,0.6363636363636364,0.4959671285088006,0.7746927609427611,0.0365963403659634
composition (25 markers),panel,0.8691919191919192,0.7707834281650071,0.9459459459459459,9.999000099990002e-05
composition (100 markers),core,0.6914141414141414,0.5537525354969575,0.8161616161616161,0.0045995400459954
composition (100 markers),panel,0.8757575757575758,0.7782487922705315,0.9574079537771222,9.999000099990002e-05
composition (200 markers),core,0.6803030303030303,0.5436105476673427,0.8086734693877551,0.007899210078992101
composition (200 markers),panel,0.8787878787878788,0.7804217762913415,0.958424105924106,9.999000099990002e-05
SOX6_AGTR1 markers only,core,0.7585858585858586,0.6324574829931973,0.8652272579597141,0.0005999400059994001
SOX6_AGTR1 markers only,panel,0.9101010101010101,0.8242416267942585,0.9778287431438908,9.999000099990002e-05
composition + dopamine purity,core,0.6383838383838384,0.4911257353730063,0.7748478701825557,0.032596740325967405
composition + dopamine purity,panel,0.8671717171717171,0.7704054378161521,0.9465901360544218,9.999000099990002e-05
