list,draw,n_significant,best_p_adj
up,0,0,1.0
up,1,1,0.049834465894690656
up,2,3,0.04906507370886573
up,3,8,0.016737708792883207
up,4,0,1.0
up,5,1,0.014821443672304273
up,6,37,0.026259970702614502
up,7,3,0.016167531123567055
up,8,4,0.04972443299588615
up,9,1,0.011579252868987713
up,10,1,0.004910347569233107
up,11,0,1.0
up,12,0,1.0
up,13,0,1.0
up,14,0,1.0
up,15,0,1.0
up,16,0,1.0
up,17,0,1.0
up,18,22,0.009947428002150208
up,19,0,1.0
up,20,0,1.0
up,21,40,0.002691002771008306
up,22,2,0.036423571360542716
up,23,4,0.01557587863856934
up,24,0,1.0
up,25,0,1.0
up,26,5,0.0018591895762356159
up,27,0,1.0
up,28,10,0.002170579647664329
up,29,0,1.0
up,30,0,1.0
up,31,0,1.0
up,32,0,1.0
up,33,0,1.0
up,34,2,0.03163063662272003
up,35,0,1.0
up,36,0,1.0
up,37,0,1.0
up,38,7,0.010234505357079064
up,39,1,0.03194900080775851
up,40,1,0.027073680499107824
up,41,1,0.00891330819636741
up,42,1,0.041341888952842375
up,43,0,1.0
up,44,0,1.0
up,45,0,1.0
up,46,0,1.0
up,47,0,1.0
up,48,0,1.0
up,49,0,1.0
up,50,11,0.045406034733676014
up,51,5,0.009474493431387995
up,52,2,0.018539025546737135
up,53,0,1.0
up,54,0,1.0
up,55,0,1.0
up,56,2,0.04155925798152904
up,57,0,1.0
up,58,0,1.0
up,59,3,0.03839814855921984
up,60,4,0.012041623371023937
up,61,0,1.0
up,62,0,1.0
up,63,0,1.0
up,64,2,0.04019209357068356
up,65,38,0.012332323860029462
up,66,15,0.0052370313220447655
up,67,1,0.04575067317945571
up,68,0,1.0
up,69,0,1.0
up,70,0,1.0
up,71,0,1.0
up,72,2,0.04771436465279436
up,73,0,1.0
up,74,0,1.0
up,75,1,0.005527056823223931
up,76,0,1.0
up,77,0,1.0
up,78,1,0.015579489726890192
up,79,0,1.0
up,80,2,0.019231536428600638
up,81,0,1.0
up,82,0,1.0
up,83,3,0.015544854771393512
up,84,0,1.0
up,85,0,1.0
up,86,0,1.0
up,87,0,1.0
up,88,0,1.0
up,89,0,1.0
up,90,0,1.0
up,91,0,1.0
up,92,0,1.0
up,93,12,0.046157950907150344
up,94,0,1.0
up,95,0,1.0
up,96,4,0.04562433297758792
up,97,1,0.02743446808492307
up,98,14,0.032703155968897606
up,99,0,1.0
down,0,28,0.028452044722851875
down,1,6,0.0056277173461472116
down,2,4,0.00803718510463636
down,3,12,0.04904481346346312
