list,source,native,name,term_size,query_size,hits,domain,p_raw,p_adj,significant,genes,genes_ensg,calibrated_p
all,GO:MF,GO:0099534,calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration,2,30,2,5622,2.753054609021627e-05,0.005175742664960661,True,"CALB1, CALB2","ENSG00000104327, ENSG00000172137",0.019801980198019802
all,GO:CC,GO:0060076,excitatory synapse,43,30,4,5622,7.038449653344448e-05,0.015554973733891258,True,"ADGRB3, PLXNC1, PPFIA4, CALB2","ENSG00000135298, ENSG00000136040, ENSG00000143847, ENSG00000172137",0.06930693069306931
all,GO:CC,GO:0150053,cerebellar climbing fiber to Purkinje cell synapse,4,30,2,5622,0.00016408795089093383,0.018131718573448228,True,"ADGRB3, PLXNC1","ENSG00000135298, ENSG00000136040",0.07920792079207921
all,GO:BP,GO:1905806,regulation of synapse pruning,2,30,2,5622,2.753054609021627e-05,0.028218809742471686,True,"ADGRB3, PLXNC1","ENSG00000135298, ENSG00000136040",0.1485148514851485
all,GO:CC,GO:0098978,glutamatergic synapse,311,30,7,5622,0.0009997344233141443,0.06665181265707408,False,"FUS, CALB1, DNAJB1, ADGRB3, PLXNC1, SH3GL3, PPFIA4","ENSG00000089280, ENSG00000104327, ENSG00000132002, ENSG00000135298, ENSG00000136040, ENSG00000140600, ENSG00000143847",0.32673267326732675
all,GO:CC,GO:0098985,"asymmetric, glutamatergic, excitatory synapse",10,30,2,5622,0.0012063676499017926,0.06665181265707408,False,"ADGRB3, PLXNC1","ENSG00000135298, ENSG00000136040",0.32673267326732675
all,GO:MF,GO:0004197,cysteine-type endopeptidase activity,34,30,3,5622,0.0007339999091801493,0.06899599146293416,False,"CFLAR, LGMN, USP12","ENSG00000003402, ENSG00000100600, ENSG00000152484",0.32673267326732675
all,GO:BP,GO:0098883,synapse pruning,4,30,2,5622,0.00016408795089093383,0.08409507483160376,False,"ADGRB3, PLXNC1","ENSG00000135298, ENSG00000136040",0.32673267326732675
all,GO:MF,GO:0003712,transcription coregulator activity,241,30,6,5622,0.001453960218464964,0.0911148403571375,False,"FUS, ZMYND8, BCL11A, DNAJB1, SCAI, TRRAP","ENSG00000089280, ENSG00000101040, ENSG00000119866, ENSG00000132002, ENSG00000173611, ENSG00000196367",0.32673267326732675
all,GO:CC,GO:0099524,postsynaptic cytosol,18,30,2,5622,0.003994270868963263,0.10941189462947971,False,"FUS, CALB1","ENSG00000089280, ENSG00000104327",0.32673267326732675
all,GO:CC,GO:0097342,ripoptosome,1,30,1,5622,0.005336179295624333,0.10941189462947971,False,CFLAR,ENSG00000003402,0.32673267326732675
all,GO:CC,GO:0099523,presynaptic cytosol,18,30,2,5622,0.003994270868963263,0.10941189462947971,False,"FUS, CALB1","ENSG00000089280, ENSG00000104327",0.32673267326732675
