threshold,n_genes,cohort,n,genes_measured,auc,ci_lo,ci_hi,accuracy
-1.0,30,GSE7621,25,30,0.9444444444444444,0.8382352941176471,1.0,0.88
-1.0,30,GSE20292,29,26,0.5303030303030303,0.31664473684210526,0.7355769230769231,0.5172413793103449
-1.0,30,GSE20163,17,26,0.4166666666666667,0.11666666666666667,0.75,0.29411764705882354
-1.0,30,GSE20164,11,26,0.7999999999999999,0.4642857142857143,1.0,0.7272727272727273
-1.0,30,GSE8397,23,26,0.775,0.5396773182957394,0.9555555555555555,0.6521739130434783
-1.0,30,GSE49036,23,30,0.8250000000000001,0.6111111111111112,0.9777777777777777,0.6086956521739131
-1.0,30,GSE114517,29,30,0.9019607843137255,0.7444345238095238,1.0,0.8620689655172413
-1.0,30,GSE168496,16,30,0.984375,0.90625,1.0,0.9375
0.0,30,GSE7621,25,30,0.9444444444444444,0.838235294117647,1.0,0.88
0.0,30,GSE20292,29,26,0.5303030303030303,0.3173076923076923,0.7450980392156863,0.5172413793103449
0.0,30,GSE20163,17,26,0.4166666666666667,0.1212121212121212,0.7428571428571429,0.29411764705882354
0.0,30,GSE20164,11,26,0.7999999999999999,0.4666666666666667,1.0,0.7272727272727273
0.0,30,GSE8397,23,26,0.775,0.5443749999999999,0.9555555555555555,0.6521739130434783
0.0,30,GSE49036,23,30,0.8250000000000001,0.6176470588235294,0.9732142857142857,0.6086956521739131
0.0,30,GSE114517,29,30,0.9019607843137255,0.7578867623604466,1.0,0.8620689655172413
0.0,30,GSE168496,16,30,0.984375,0.9047619047619048,1.0,0.9375
0.04,30,GSE7621,25,30,0.9444444444444444,0.8375541125541126,1.0,0.88
0.04,30,GSE20292,29,26,0.5303030303030303,0.31425685425685423,0.7381524725274727,0.5172413793103449
0.04,30,GSE20163,17,26,0.4166666666666667,0.125,0.75,0.29411764705882354
0.04,30,GSE20164,11,26,0.7999999999999999,0.4642857142857143,1.0,0.7272727272727273
0.04,30,GSE8397,23,26,0.775,0.5526315789473685,0.9523809523809524,0.6521739130434783
0.04,30,GSE49036,23,30,0.8250000000000001,0.625,0.9803921568627451,0.6086956521739131
0.04,30,GSE114517,29,30,0.9019607843137255,0.7598039215686274,1.0,0.8620689655172413
0.04,30,GSE168496,16,30,0.984375,0.90625,1.0,0.9375
0.08,30,GSE7621,25,30,0.9444444444444444,0.8333333333333333,1.0,0.88
0.08,30,GSE20292,29,26,0.5303030303030303,0.31578164160401,0.7323232323232324,0.5172413793103449
0.08,30,GSE20163,17,26,0.4166666666666667,0.1111111111111111,0.7424242424242424,0.29411764705882354
0.08,30,GSE20164,11,26,0.7999999999999999,0.4666666666666667,1.0,0.7272727272727273
0.08,30,GSE8397,23,26,0.775,0.5416666666666666,0.9553571428571429,0.6521739130434783
0.08,30,GSE49036,23,30,0.8250000000000001,0.6176225490196079,0.975,0.6086956521739131
0.08,30,GSE114517,29,30,0.9019607843137255,0.7575757575757576,1.0,0.8620689655172413
0.08,30,GSE168496,16,30,0.984375,0.90625,1.0,0.9375
0.12,30,GSE7621,25,30,0.9444444444444444,0.8311616692131398,1.0,0.88
0.12,30,GSE20292,29,26,0.5303030303030303,0.3125,0.7388888888888888,0.5172413793103449
0.12,30,GSE20163,17,26,0.4166666666666667,0.12115800865800866,0.75,0.29411764705882354
0.12,30,GSE20164,11,26,0.7999999999999999,0.4583333333333333,1.0,0.7272727272727273
0.12,30,GSE8397,23,26,0.775,0.5446428571428571,0.9545657467532468,0.6521739130434783
0.12,30,GSE49036,23,30,0.8250000000000001,0.624951923076923,0.9769230769230769,0.6086956521739131
0.12,30,GSE114517,29,30,0.9019607843137255,0.763157894736842,1.0,0.8620689655172413
0.12,30,GSE168496,16,30,0.984375,0.90625,1.0,0.9375
0.16,28,GSE7621,25,28,0.9236111111111112,0.7999999999999999,1.0,0.84
0.16,28,GSE20292,29,24,0.5277777777777778,0.3166666666666667,0.75,0.5172413793103449
0.16,28,GSE20163,17,24,0.3888888888888889,0.09722222222222222,0.7222222222222222,0.29411764705882354
0.16,28,GSE20164,11,24,0.8666666666666667,0.5714285714285714,1.0,0.7272727272727273
0.16,28,GSE8397,23,24,0.75,0.5098039215686274,0.947434210526316,0.6086956521739131
0.16,28,GSE49036,23,28,0.8666666666666667,0.6833134920634921,0.9916666666666667,0.6086956521739131
0.16,28,GSE114517,29,28,0.9019607843137254,0.7676515151515151,0.9950980392156863,0.8620689655172413
0.16,28,GSE168496,16,28,1.0,1.0,1.0,0.9375
0.2,27,GSE7621,25,27,0.8958333333333334,0.7467510822510822,1.0,0.8
0.2,27,GSE20292,29,23,0.5656565656565656,0.34313025210084036,0.7888970588235295,0.5172413793103449
0.2,27,GSE20163,17,23,0.3611111111111111,0.08333333333333333,0.6857142857142857,0.29411764705882354
0.2,27,GSE20164,11,23,0.8333333333333334,0.5,1.0,0.8181818181818182
0.2,27,GSE8397,23,23,0.7416666666666667,0.49016339869281045,0.9469796650717704,0.6086956521739131
0.2,27,GSE49036,23,27,0.85,0.65,1.0,0.6956521739130435
0.2,27,GSE114517,29,27,0.8823529411764706,0.7321287593984962,0.9855769230769231,0.7586206896551724
0.2,27,GSE168496,16,27,1.0,1.0,1.0,0.9375
0.24,26,GSE7621,25,26,0.9097222222222223,0.76,1.0,0.84
0.24,26,GSE20292,29,22,0.5505050505050506,0.3311038961038961,0.7619047619047619,0.5172413793103449
0.24,26,GSE20163,17,22,0.375,0.08571428571428572,0.7083333333333333,0.29411764705882354
0.24,26,GSE20164,11,22,0.8333333333333334,0.5,1.0,0.8181818181818182
0.24,26,GSE8397,23,22,0.7583333333333333,0.5,0.9777777777777777,0.5652173913043478
0.24,26,GSE49036,23,26,0.8583333333333334,0.6666666666666666,1.0,0.6521739130434783
0.24,26,GSE114517,29,26,0.9068627450980393,0.7788194444444444,0.9950980392156863,0.8620689655172413
0.24,26,GSE168496,16,26,0.96875,0.8571428571428572,1.0,0.9375
0.28,26,GSE7621,25,26,0.9097222222222223,0.76,1.0,0.84
0.28,26,GSE20292,29,22,0.5505050505050506,0.3282602813852814,0.7619227994227995,0.5172413793103449
0.28,26,GSE20163,17,22,0.375,0.08571428571428573,0.7,0.29411764705882354
0.28,26,GSE20164,11,22,0.8333333333333334,0.5,1.0,0.8181818181818182
0.28,26,GSE8397,23,22,0.7583333333333333,0.4901960784313726,0.9736842105263158,0.5652173913043478
0.28,26,GSE49036,23,26,0.8583333333333334,0.6607142857142857,1.0,0.6521739130434783
0.28,26,GSE114517,29,26,0.9068627450980393,0.7647058823529412,1.0,0.8620689655172413
0.28,26,GSE168496,16,26,0.96875,0.8545454545454545,1.0,0.9375
0.32,24,GSE7621,25,24,0.9027777777777779,0.7569444444444444,1.0,0.8
0.32,24,GSE20292,29,20,0.4974747474747475,0.2947295321637427,0.7058823529411764,0.5172413793103449
0.32,24,GSE20163,17,20,0.3611111111111111,0.06944444444444445,0.6923611111111113,0.29411764705882354
0.32,24,GSE20164,11,20,0.7666666666666666,0.39285714285714285,1.0,0.7272727272727273
0.32,24,GSE8397,23,20,0.7666666666666666,0.5230681818181817,0.9583333333333333,0.6086956521739131
0.32,24,GSE49036,23,24,0.8833333333333333,0.7153296703296702,1.0,0.6956521739130435
0.32,24,GSE114517,29,24,0.9166666666666667,0.7666666666666666,1.0,0.8620689655172413
0.32,24,GSE168496,16,24,0.984375,0.9047619047619049,1.0,0.9375
0.36,20,GSE7621,25,20,0.9444444444444444,0.8333333333333333,1.0,0.8
0.36,20,GSE20292,29,17,0.4949494949494949,0.27271464646464644,0.7105327657378742,0.5172413793103449
0.36,20,GSE20163,17,17,0.37500000000000006,0.1,0.7272727272727272,0.4117647058823529
0.36,20,GSE20164,11,17,0.7666666666666666,0.3928571428571429,1.0,0.7272727272727273
0.36,20,GSE8397,23,17,0.7416666666666667,0.5,0.9416666666666667,0.6086956521739131
0.36,20,GSE49036,23,20,0.8833333333333333,0.7,1.0,0.6086956521739131
0.36,20,GSE114517,29,20,0.8872549019607843,0.738063909774436,0.9903846153846154,0.7931034482758621
0.36,20,GSE168496,16,20,0.984375,0.90625,1.0,0.875
0.4,16,GSE7621,25,16,0.9583333333333333,0.8680555555555556,1.0,0.84
0.4,16,GSE20292,29,15,0.4823232323232323,0.27403273809523815,0.6969696969696969,0.5172413793103449
0.4,16,GSE20163,17,15,0.4027777777777778,0.10606060606060606,0.7272727272727273,0.5882352941176471
0.4,16,GSE20164,11,15,0.7333333333333334,0.3571428571428571,1.0,0.6363636363636364
0.4,16,GSE8397,23,15,0.775,0.5333333333333333,0.9523809523809524,0.5652173913043478
0.4,16,GSE49036,23,16,0.9333333333333333,0.8,1.0,0.6521739130434783
