threshold,n_genes,pooled_auc,genes,discovery_oob_auc
-1.0,30,0.7721392778516206,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, MANF, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, L3MBTL1, TRRAP, GSTK1",0.9656565656565657
0.0,30,0.7721392778516206,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, MANF, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, L3MBTL1, TRRAP, GSTK1",0.9656565656565657
0.04,30,0.7721392778516206,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, MANF, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, L3MBTL1, TRRAP, GSTK1",0.9656565656565657
0.08,30,0.7721392778516206,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, MANF, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, L3MBTL1, TRRAP, GSTK1",0.9656565656565657
0.12,30,0.7721392778516206,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, MANF, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, L3MBTL1, TRRAP, GSTK1",0.9656565656565657
0.16,28,0.7738755714231742,"CFLAR, IBTK, CPNE3, FUS, LGMN, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, TRRAP, GSTK1",0.9555555555555555
0.2,27,0.7647514330657819,"CFLAR, IBTK, CPNE3, FUS, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, CACNA1A, PPFIA4, CNTN4, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, TRRAP, GSTK1",0.9535353535353536
0.24,26,0.7701255585436138,"CFLAR, IBTK, CPNE3, FUS, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, PPFIA4, CNTN4, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, TRRAP, GSTK1",0.9575757575757575
0.28,26,0.7701255585436138,"CFLAR, IBTK, CPNE3, FUS, ZMYND8, CALB1, SOX6, PRKAR2A, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, PPFIA4, CNTN4, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, TRRAP, GSTK1",0.9575757575757575
0.32,24,0.7621489461084837,"CFLAR, IBTK, CPNE3, FUS, ZMYND8, CALB1, SOX6, BCL11A, DNAJB1, ADGRB3, PLXNC1, GPNMB, SSTR1, SH3GL3, PPFIA4, CNTN4, USP12, ICE1, ELOVL7, CALB2, SCAI, RBM4B, C11orf54, GSTK1",0.9595959595959597
