threshold,n_genes,pooled_auc,random_median,random_p95,p_vs_random
-1.0,30,0.7721392778516206,0.6313948735914054,0.7295736479037227,0.014925373134328358
0.0,30,0.7721392778516206,0.6313948735914054,0.7295736479037227,0.014925373134328358
0.04,30,0.7721392778516206,0.6313948735914054,0.7295736479037227,0.014925373134328358
0.08,30,0.7721392778516206,0.6313948735914054,0.7295736479037227,0.014925373134328358
0.12,30,0.7721392778516206,0.6313948735914054,0.7295736479037227,0.014925373134328358
0.16,28,0.7738755714231742,,,
0.2,27,0.7647514330657819,,,
0.24,26,0.7701255585436138,,,
0.28,26,0.7701255585436138,,,
0.32,24,0.7621489461084837,,,
0.36,20,0.7608576413574714,,,
0.4,16,0.7749024587939923,,,
0.44,16,0.7749024587939923,,,
0.48,14,0.7515837137096912,0.5725669651290188,0.6981749963078592,0.014925373134328358
0.52,11,0.7720635031031156,,,
0.56,9,0.7467196617655645,,,
0.6,8,0.7246363241390443,0.569253848412723,0.6810858017011324,0.029850746268656716
0.64,8,0.7246363241390443,0.569253848412723,0.6810858017011324,0.029850746268656716
0.68,8,0.7246363241390443,0.569253848412723,0.6810858017011324,0.029850746268656716
0.72,6,0.7001403872111114,,,
0.76,5,0.7148241596515993,,,
0.8,4,0.7185272050666474,,,
0.84,3,0.6778654446539519,,,
0.88,3,0.6778654446539519,,,
