gene,symbol,name,direction,hedges_g_discovery,p_discovery,deg,boruta_fold_frequency,shap_rank,single_gene_auc,g_external_neuron_adjusted,replicates_in_bulk,dopamine_lineage_score,top_subtype_marker,pd_association_open_targets,pd_genetic_association,pd_literature,best_pathway_neighbours,summary,lineage,g_original,g_composition_removed,retained,log2FC,pvalue,I2,same_direction_datasets,boruta_fold_frequency_ann,shap_rank_ann,single_gene_auc_ann,is_deg,pathways,locus,position,full_name,n_pd_papers,evidence_kind,title,authors,journal,year,doi,volume,pages,key
ENSG00000136040,PLXNC1,plexin C1,up,1.2294639068927786,0.000141686212522,True,0.96,2,0.7797979797979798,0.5624802781723726,True,7.697105127385006,CALB1_CALCR,0.0014783194187388,0.0,0.0121586159522324,"Negative Regulation Of Cell Adhesion (GO:0007162) (GO:BP; p=3.5e-01, FDR=0.74)",This gene encodes a member of the plexin family.,7.697105127385006,1.235837193857234,0.4798199672505305,0.3882549980171256,1.2155355312474114,0.000141686212522,0.6633797301442789,4,0.96,2,0.7797979797979798,True,"excitatory synapse, cerebellar climbing fiber to Purkinje cell synapse, regulation of synapse pruning",12q22,chr12:94.15~Mb,plexin C1,23,neuro,Transcriptional repression of Plxnc1 by Lmx1a and Lmx1b directs topographic dopaminergic circuit formation,"Chabrat A, Brisson G, Doucet-Beaupré H, Salesse C, Schaan Profes M, Dovonou A, Akitegetse C, Charest J, Lemstra S, Côté D, Pasterkamp RJ, Abrudan MI, Metzakopian E, Ang SL, Lévesque M",Nature communications,2017.0,10.1038/s41467-017-01042-0,8.0,933,chabrat2017
ENSG00000172137,CALB2,calbindin 2,up,1.0371110702903217,0.0008888447033424,True,0.52,12,0.7444444444444445,0.3534372448900706,True,3.684849617114178,CALB1_GEM,0.0573699067057432,0.0,0.315451075645328,"Calcium Ion Binding (GO:0005509) (GO:MF; p=2.9e-01, FDR=0.74)",This gene encodes an intracellular calcium-binding protein belonging to the troponin C superfamily.,3.684849617114178,0.9320974391946896,0.3334187150759143,0.357708004609454,1.342041237814409,0.0008888447033424,0.7667406608516141,3,0.52,12,0.7444444444444445,True,"calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration, excitatory synapse",16q22.2,chr16:71.36~Mb,calbindin 2,224,neuro,"The segregation of Calb1, Calb2, and Prph neurons reveals distinct and mixed neuronal populations and projections to hair cells in the inner ear and central nuclei","Lee JH, Yamoah EN, Kersigo J, Elliott K, LaRoda N, Pavlinkova G, Fritzsch B",Developmental dynamics : an official publication of the American Association of Anatomists,2026.0,10.1002/dvdy.70093,255.0,845-866,lee2026
ENSG00000173914,RBM4B,RNA binding motif protein 4B,up,1.0319787823540092,0.0001767233065306,True,1.0,1,0.7757575757575758,0.659102746660229,True,-1.8245803708765889,SOX6_DDT,0.0,0.0,0.0,"mRNA Splicing, Via Spliceosome (GO:0000398) (GO:BP; p=3.2e-01, FDR=0.74)",Enables RNA binding activity.,-1.8245803708765889,1.0344046281494528,0.4159295033703813,0.4020955553094132,0.5148933944241525,0.0001767233065306,0.7118885612362661,3,1.0,1,0.7757575757575758,True,,11q13.2,chr11:66.66~Mb,RNA binding motif protein 4B,4,none,,,,,,,,
ENSG00000136235,GPNMB,glycoprotein nmb,up,0.970446065379424,0.0002725729847452,True,0.92,3,0.7676767676767677,0.4260457458774654,True,-0.4989439996602775,SOX6_AGTR1,0.5037561685181942,0.7819308449600633,0.9341960096792198,"Regulation Of T Cell Activation (GO:0050863) (GO:BP; p=1.9e-01, FDR=0.74)","The protein encoded by this gene is a type I transmembrane glycoprotein which shows homology to the pMEL17 precursor, a melanocyte-specific protein.",-0.4989439996602775,0.9476244344716388,0.5265925718121113,0.555697544993888,1.273725089578162,0.0002725729847452,0.642149618228244,3,0.92,3,0.7676767676767677,True,,7p15.3,chr7:23.24~Mb,glycoprotein nmb,338,pd,The glycoprotein GPNMB attenuates astrocyte inflammatory responses through the CD44 receptor,"Neal ML, Boyle AM, Budge KM, Safadi FF, Richardson JR",Journal of neuroinflammation,2018.0,10.1186/s12974-018-1100-1,15.0,73,neal2018
ENSG00000089280,FUS,FUS RNA binding protein,up,0.8925165752231696,0.002887350725337,True,0.36,20,0.7191919191919192,0.0732449244745336,True,0.0,,0.0459643535412942,0.0,0.2516129183421901,"Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168) (GO:BP; p=1.1e-01, FDR=0.74)",This gene encodes a multifunctional protein component of the heterogeneous nuclear ribonucleoprotein (hnRNP) complex.,0.0,0.9326162241229444,0.8415586563432721,0.9023633029059672,0.6849462274435189,0.002887350725337,0.6497714393702673,4,0.36,20,0.7191919191919192,True,,16p11.2,chr16:31.18~Mb,FUS RNA binding protein,1579,neuro,TDP-43 and FUS/TLS: emerging roles in RNA processing and neurodegeneration,"Lagier-Tourenne C, Polymenidou M, Cleveland DW",Human molecular genetics,2010.0,10.1093/hmg/ddq137,19.0,R46-64,lagiertourenne2010
ENSG00000101040,ZMYND8,zinc finger MYND-type containing 8,up,0.8919654780286039,0.0009337188905198,True,0.84,6,0.7434343434343434,0.2881492683099391,True,-1.5802246266228808,SOX6_GFRA2,0.0043371707413385,0.0,0.030396539880581,"Double-Strand Break Repair Via Homologous Recombination (GO:0000724) (GO:BP; p=2.7e-01, FDR=0.74)",The protein encoded by this gene is a receptor for activated C-kinase (RACK) protein.,-1.5802246266228808,0.9158482043559067,0.6560100396257956,0.7162868655588521,0.5687042785292464,0.0009337188905198,0.0,4,0.84,6,0.7434343434343434,True,,20q13.12,chr20:47.21~Mb,zinc finger MYND-type containing 8,6,other,Screen identifies bromodomain protein ZMYND8 in chromatin recognition of transcription-associated DNA damage that promotes homologous recombination,"Gong F, Chiu LY, Cox B, Aymard F, Clouaire T, Leung JW, Cammarata M, Perez M, Agarwal P, Brodbelt JS, Legube G, Miller KM",Genes & development,2015.0,10.1101/gad.252189.114,29.0,197-211,gong2015
ENSG00000196367,TRRAP,transformation/transcription domain associated protein,up,0.8322070656777519,0.001586432753544,True,0.32,30,0.7323232323232324,0.0599308860392685,True,0.55594488691528,CALB1_CALCR,0.3325209330629493,0.0,0.0,"Histone H2A Acetylation (GO:0043968) (GO:BP; p=4.6e-02, FDR=0.74)",This gene encodes a large multidomain protein of the phosphoinositide 3-kinase-related kinases (PIKK) family.,0.55594488691528,0.8451054813948994,0.6458000290800047,0.7641649986864023,0.9029476524022052,0.001586432753544,0.5390502978566386,3,0.32,30,0.7323232323232324,True,,7q22.1,chr7:98.88~Mb,transformation/transcription domain associated protein,40,neuro,An RNAi screen identifies TRRAP as a regulator of brain tumor-initiating cell differentiation,"Wurdak H, Zhu S, Romero A, Lorger M, Watson J, Chiang CY, Zhang J, Natu VS, Lairson LL, Walker JR, Trussell CM, Harsh GR, Vogel H, Felding-Habermann B, Orth AP, Miraglia LJ, Rines DR, Skirboll SL, Schultz PG",Cell stem cell,2010.0,10.1016/j.stem.2009.11.002,6.0,37-47,wurdak2010
ENSG00000143847,PPFIA4,PPFI scaffold protein A4,up,0.8241694594587151,0.0009337188905198,True,0.76,9,0.7434343434343434,0.464652965928062,True,0.9804841432914664,CALB1_PPP1R17,0.007391597093694,0.0,0.0607930797611621,"Serotonin Neurotransmitter Release Cycle R-HSA-181429 (Reactome; p=4.5e-01, FDR=0.74)","PPFIA4, or liprin-alpha-4, belongs to the liprin-alpha gene family.",0.9804841432914664,0.8513333155314563,0.4581508546388039,0.5381568491217767,0.7071479401627403,0.0009337188905198,0.3886155480920384,4,0.76,9,0.7434343434343434,True,excitatory synapse,1q32.1,chr1:203.03~Mb,PPFI scaffold protein A4,4,other,PPFIA4 promotes castration-resistant prostate cancer by enhancing mitochondrial metabolism through MTHFD2,"Zhao R, Feng T, Gao L, Sun F, Zhou Q, Wang X, Liu J, Zhang W, Wang M, Xiong X, Jia W, Chen W, Wang L, Han B",Journal of experimental & clinical cancer research : CR,2022.0,10.1186/s13046-022-02331-3,41.0,125,zhao2022
ENSG00000164151,ICE1,interactor of little elongation complex ELL subunit 1,up,0.7281949214079321,0.0135004521697941,False,0.8,5,0.6818181818181819,0.1360254627703265,True,0.0,,0.0,0.0,0.0,"Regulation Of Transcription By RNA Polymerase III (GO:0006359) (GO:BP; p=2.2e-01, FDR=0.74)",Enables protein-macromolecule adaptor activity.,0.0,0.7434332173688621,0.6947122439161809,0.9344648956834172,0.6009334607479504,0.0135004521697941,0.0200804608835861,3,0.8,5,0.6818181818181819,False,,5p15.32,chr5:5.42~Mb,interactor of little elongation complex ELL subunit 1,9,other,ICE1 promotes the link between splicing and nonsense-mediated mRNA decay,"Baird TD, Cheng KC, Chen YC, Buehler E, Martin SE, Inglese J, Hogg JR",eLife,2018,10.7554/elife.33178,17.0,1043-1054,baird2018
ENSG00000119866,BCL11A,BCL11 transcription factor A,up,0.7031794754162113,0.0010298290629904,True,0.4,28,0.7414141414141414,0.1574618678603392,True,0.6682984775575544,SOX6_GFRA2,0.0081923534455108,0.0,0.067378996735288,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227) (GO:MF; p=1.7e-01, FDR=0.74)",This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein.,0.6682984775575544,0.7318789125895728,0.4042218247438139,0.5523069701702087,0.8594363510818125,0.0010298290629904,0.0,4,0.4,28,0.7414141414141414,True,,2p16.1,chr2:60.45~Mb,BCL11 transcription factor A,92,other,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,"Canver MC, Smith EC, Sher F, Pinello L, Sanjana NE, Shalem O, Chen DD, Schupp PG, Vinjamur DS, Garcia SP, Luc S, Kurita R, Nakamura Y, Fujiwara Y, Maeda T, Yuan GC, Zhang F, Orkin SH, Bauer DE",Nature,2015.0,10.1038/nature15521,527.0,192-197,canver2015
ENSG00000114302,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha,up,0.6889060107623163,0.0179280636346651,False,0.32,22,0.6742424242424243,-0.0821914123460424,False,-0.0363806890719142,SOX6_GFRA2,0.0197900646979857,0.0,0.1627657685359499,"Plasma Membrane Raft (GO:0044853) (GO:CC; p=3.5e-01, FDR=0.74)",cAMP is a signaling molecule important for a variety of cellular functions.,-0.0363806890719142,0.6965097470363998,0.6338615942352034,0.9100541621021674,0.6421121923764588,0.0179280636346651,0.0,4,0.32,22,0.6742424242424243,False,,3p21.31,chr3:48.74~Mb,protein kinase cAMP-dependent type II regulatory subunit alpha,42,other,Organoid models of fibrolamellar carcinoma mutations reveal hepatocyte transdifferentiation through cooperative BAP1 and PRKAR2A loss,"Rüland L, Andreatta F, Massalini S, Chuva de Sousa Lopes S, Clevers H, Hendriks D, Artegiani B",Nature communications,2023.0,10.1038/s41467-023-37951-6,14.0,2377,rland2023
ENSG00000132002,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,up,0.6789664749387754,0.0074347147526906,True,0.56,11,0.696969696969697,0.3658861134130242,True,-2.960348980936168,SOX6_DDT,0.0891952558294981,0.0,0.7302446089406338,"Attenuation Phase R-HSA-3371568 (Reactome; p=8.5e-02, FDR=0.74)",This gene encodes a member of the DnaJ or Hsp40 (heat shock protein 40 kD) family of proteins.,-2.960348980936168,0.6848264203436524,0.5344541120674984,0.7804227409907817,0.7822460837356724,0.0074347147526906,0.0,4,0.56,11,0.696969696969697,True,,19p13.12,chr19:14.51~Mb,DnaJ heat shock protein family (Hsp40) member B1,124,pd,"The Molecular Chaperone DNAJB6, but Not DNAJB1, Suppresses the Seeded Aggregation of Alpha-Synuclein in Cells","Deshayes N, Arkan S, Hansen C",International journal of molecular sciences,2019.0,10.3390/ijms20184495,20.0,E4495,deshayes2019
ENSG00000197448,GSTK1,glutathione S-transferase kappa 1,up,0.617329510174259,0.0026383344145603,True,0.36,14,0.7212121212121213,0.0437390092987635,True,0.4639754706381715,SOX6_DDT,0.0033262186921623,0.0,0.0273568858925229,"Epithelial Cell Differentiation (GO:0030855) (GO:BP; p=2.6e-01, FDR=0.74)",This gene encodes a member of the kappa class of the glutathione transferase superfamily of enzymes that function in cellular detoxification.,0.4639754706381715,0.6444231696601794,0.5529904730635304,0.8581169937684523,0.5855475754909657,0.0026383344145603,0.0,4,0.36,14,0.7212121212121213,True,,7q34,chr7:143.24~Mb,glutathione S-transferase kappa 1,48,other,Downregulation of GSTK1 Is a Common Mechanism Underlying Hypertrophic Cardiomyopathy,"Sasagawa S, Nishimura Y, Okabe S, Murakami S, Ashikawa Y, Yuge M, Kawaguchi K, Kawase R, Okamoto R, Ito M, Tanaka T",Frontiers in pharmacology,2016.0,10.3389/fphar.2016.00162,7.0,162,sasagawa2016
